run_accession	fastq_ftp	fastq_bytes
SRR5930494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5930494/SRR5930494_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5930494/SRR5930494_2.fastq.gz	3425146016;3511417125
SRR5930495	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5930495/SRR5930495_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5930495/SRR5930495_2.fastq.gz	3235825319;3308060075
SRR5930496	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5930496/SRR5930496_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5930496/SRR5930496_2.fastq.gz	3074318759;3180573666
SRR5930498	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/008/SRR5930498/SRR5930498_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/008/SRR5930498/SRR5930498_2.fastq.gz	3319096477;3425651258
SRR5930500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/000/SRR5930500/SRR5930500_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/000/SRR5930500/SRR5930500_2.fastq.gz	1755906217;1788529188
SRR5930501	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5930501/SRR5930501_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5930501/SRR5930501_2.fastq.gz	2181084514;2240125682
SRR5930505	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5930505/SRR5930505_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5930505/SRR5930505_2.fastq.gz	3236403224;3311894750
SRR5930507	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5930507/SRR5930507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5930507/SRR5930507_2.fastq.gz	3132946026;3214366179
SRR5930508	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/008/SRR5930508/SRR5930508_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/008/SRR5930508/SRR5930508_2.fastq.gz	2808347792;2897499735
SRR5930509	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/009/SRR5930509/SRR5930509_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/009/SRR5930509/SRR5930509_2.fastq.gz	2727092386;2808253245
SRR5930510	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/000/SRR5930510/SRR5930510_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/000/SRR5930510/SRR5930510_2.fastq.gz	1631078995;1659397564
SRR5930513	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5930513/SRR5930513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5930513/SRR5930513_2.fastq.gz	1147203086;1175307623
