run_accession	fastq_ftp_1	fastq_ftp_2	read_count	low_depth_flag
ERR6229432	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/002/ERR6229432/ERR6229432_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/002/ERR6229432/ERR6229432_2.fastq.gz	85177798	ok
ERR6232524	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/004/ERR6232524/ERR6232524_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/004/ERR6232524/ERR6232524_2.fastq.gz	64259752	ok
ERR6232525	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/005/ERR6232525/ERR6232525_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/005/ERR6232525/ERR6232525_2.fastq.gz	17722586	ok
ERR6232528	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/008/ERR6232528/ERR6232528_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/008/ERR6232528/ERR6232528_2.fastq.gz	18714722	ok
ERR6232687	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/007/ERR6232687/ERR6232687_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/007/ERR6232687/ERR6232687_2.fastq.gz	16190686	ok
ERR6235718	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/008/ERR6235718/ERR6235718_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/008/ERR6235718/ERR6235718_2.fastq.gz	39444340	ok
ERR6236131	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/001/ERR6236131/ERR6236131_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/001/ERR6236131/ERR6236131_2.fastq.gz	30514670	ok
ERR6243880	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR624/000/ERR6243880/ERR6243880_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR624/000/ERR6243880/ERR6243880_2.fastq.gz	46220226	ok
ERR6254869	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR625/009/ERR6254869/ERR6254869_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR625/009/ERR6254869/ERR6254869_2.fastq.gz	30480172	ok
ERR6264280	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR626/000/ERR6264280/ERR6264280_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR626/000/ERR6264280/ERR6264280_2.fastq.gz	69347576	ok
ERR6267711	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR626/001/ERR6267711/ERR6267711_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR626/001/ERR6267711/ERR6267711_2.fastq.gz	17031202	ok
