run_accession	fastq_ftp_1	fastq_ftp_2	read_count	low_depth_flag
ERR10290768	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/068/ERR10290768/ERR10290768_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/068/ERR10290768/ERR10290768_2.fastq.gz	68025048	ok
ERR6229432	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/002/ERR6229432/ERR6229432_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/002/ERR6229432/ERR6229432_2.fastq.gz	85177798	ok
ERR6230326	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/006/ERR6230326/ERR6230326_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/006/ERR6230326/ERR6230326_2.fastq.gz	16557484	ok
ERR6231548	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/008/ERR6231548/ERR6231548_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/008/ERR6231548/ERR6231548_2.fastq.gz	12788780	ok
ERR6232382	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/002/ERR6232382/ERR6232382_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/002/ERR6232382/ERR6232382_2.fastq.gz	28544658	ok
ERR6232458	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/008/ERR6232458/ERR6232458_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/008/ERR6232458/ERR6232458_2.fastq.gz	28335484	ok
ERR6232518	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/008/ERR6232518/ERR6232518_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/008/ERR6232518/ERR6232518_2.fastq.gz	24141096	ok
ERR6232521	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/001/ERR6232521/ERR6232521_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/001/ERR6232521/ERR6232521_2.fastq.gz	10519748	ok
ERR6232523	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/003/ERR6232523/ERR6232523_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/003/ERR6232523/ERR6232523_2.fastq.gz	13315524	ok
ERR6232526	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/006/ERR6232526/ERR6232526_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/006/ERR6232526/ERR6232526_2.fastq.gz	19084394	ok
ERR6232527	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/007/ERR6232527/ERR6232527_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/007/ERR6232527/ERR6232527_2.fastq.gz	41344092	ok
ERR6232529	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/009/ERR6232529/ERR6232529_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/009/ERR6232529/ERR6232529_2.fastq.gz	17936196	ok
