run_accession	site
ERR10290768	PRIMM-UK
ERR6229432	Barcelona
ERR6230245	PRIMM-NL
ERR6230278	PRIMM-NL
ERR6230326	PRIMM-NL
ERR6230340	PRIMM-NL
ERR6231475	PRIMM-NL
ERR6231548	PRIMM-NL
ERR6231616	PRIMM-NL
ERR6232382	PRIMM-NL
ERR6232425	PRIMM-NL
ERR6232458	PRIMM-NL
ERR6232518	PRIMM-NL
ERR6232521	PRIMM-NL
ERR6232522	PRIMM-NL
ERR6232523	PRIMM-NL
ERR6232524	PRIMM-NL
ERR6232525	PRIMM-NL
ERR6232526	PRIMM-NL
ERR6232527	PRIMM-NL
ERR6232528	PRIMM-NL
ERR6232529	PRIMM-NL
ERR6232686	PRIMM-NL
ERR6232687	PRIMM-NL
ERR6232688	PRIMM-NL
ERR6233692	PRIMM-NL
ERR6233693	PRIMM-NL
ERR6233694	PRIMM-NL
ERR6233695	PRIMM-NL
ERR6235716	PRIMM-NL
ERR6235717	PRIMM-NL
ERR6235718	PRIMM-NL
ERR6236131	PRIMM-NL
ERR6239138	PRIMM-NL
ERR6239139	PRIMM-NL
ERR6243877	PRIMM-NL
ERR6243878	PRIMM-NL
ERR6243879	PRIMM-NL
ERR6243880	PRIMM-NL
ERR6248618	PRIMM-NL
ERR6254869	PRIMM-UK
ERR6254870	PRIMM-NL
ERR6254871	PRIMM-NL
ERR6257997	PRIMM-UK
ERR6264280	PRIMM-UK
ERR6264281	PRIMM-UK
ERR6267711	PRIMM-UK
ERR6267712	PRIMM-UK
ERR6271719	PRIMM-UK
ERR6271720	Leeds
ERR6271721	PRIMM-UK
ERR6273965	PRIMM-UK
ERR6275652	Leeds
ERR6275659	Leeds
ERR6275661	PRIMM-NL
ERR6275663	Leeds
ERR6275664	Leeds
ERR6275665	Leeds
ERR6275666	Leeds
ERR6275667	Leeds
ERR6275668	Leeds
ERR6275669	Leeds
ERR6275670	Leeds
ERR6275671	Leeds
ERR6275672	Leeds
ERR6275673	Leeds
ERR6275674	Leeds
ERR6275675	Leeds
ERR6275676	PRIMM-NL
ERR6275677	Leeds
ERR6275678	PRIMM-NL
ERR6275679	PRIMM-NL
ERR6275680	PRIMM-NL
ERR6275681	PRIMM-NL
ERR6275682	PRIMM-NL
ERR6275683	PRIMM-NL
ERR6275684	PRIMM-NL
ERR6279614	PRIMM-NL
ERR6279615	PRIMM-NL
ERR6279616	PRIMM-NL
ERR6279618	Leeds
ERR6279619	PRIMM-NL
ERR6279620	Manchester
ERR6279621	Manchester
ERR6279622	PRIMM-NL
ERR6279623	Manchester
ERR6279624	PRIMM-NL
ERR6279625	Manchester
ERR6279626	Manchester
ERR6279627	Manchester
ERR6279628	Manchester
ERR6279629	Manchester
ERR6279644	Manchester
ERR6279645	Manchester
ERR6279646	Manchester
ERR6279647	Manchester
ERR6279648	Manchester
ERR6279649	Manchester
ERR6279650	Manchester
ERR6279651	Manchester
ERR6279652	Manchester
ERR6279653	PRIMM-UK
ERR6279654	Manchester
ERR6279655	Manchester
ERR6279656	Manchester
ERR6279657	Manchester
ERR6279658	PRIMM-UK
ERR6279659	Manchester
ERR6279660	PRIMM-UK
ERR6279661	Manchester
ERR6279662	PRIMM-UK
ERR6279663	PRIMM-UK
ERR6279664	PRIMM-UK
ERR6279665	PRIMM-UK
ERR6279666	PRIMM-UK
ERR6279667	PRIMM-UK
ERR6279668	PRIMM-UK
ERR6279669	Manchester
ERR6279670	Manchester
ERR6279671	PRIMM-UK
ERR6279672	PRIMM-UK
ERR6279673	PRIMM-UK
ERR6279674	PRIMM-UK
ERR6279675	PRIMM-UK
ERR6279676	PRIMM-UK
ERR6279677	PRIMM-UK
ERR6279678	PRIMM-UK
ERR6279679	PRIMM-UK
ERR6279680	PRIMM-UK
ERR6279681	PRIMM-UK
ERR6279682	PRIMM-UK
ERR6279683	PRIMM-UK
ERR6280899	PRIMM-UK
ERR6280907	PRIMM-UK
ERR6280910	PRIMM-UK
ERR6280948	PRIMM-UK
ERR6281000	PRIMM-UK
ERR6281340	PRIMM-UK
ERR6281341	PRIMM-UK
ERR6281342	PRIMM-UK
ERR6281343	PRIMM-UK
ERR6281344	PRIMM-UK
ERR6281431	PRIMM-UK
ERR6281432	PRIMM-UK
ERR6281433	PRIMM-UK
ERR6281434	PRIMM-UK
ERR6281448	PRIMM-UK
ERR6281499	PRIMM-UK
ERR6281500	PRIMM-UK
ERR6281504	PRIMM-UK
ERR6281505	PRIMM-UK
ERR6281518	PRIMM-UK
ERR6281586	Barcelona
ERR6281658	Barcelona
ERR6281677	Barcelona
ERR6281751	PRIMM-UK
ERR6281939	Barcelona
ERR6281941	Barcelona
ERR6281942	PRIMM-UK
ERR6281944	Barcelona
ERR6281997	Barcelona
ERR6282070	Barcelona
ERR6282137	Barcelona
ERR6282298	Barcelona
ERR6282383	Barcelona
