run_accession	sample_accession	experiment_accession	study_accession
SRR5930497	SAMN07498099	SRX3090801	PRJNA397906
SRR5930502	SAMN07498104	SRX3090796	PRJNA397906
SRR5930503	SAMN07498130	SRX3090795	PRJNA397906
SRR5930506	SAMN07498138	SRX3090792	PRJNA397906
SRR5930514	SAMN07498122	SRX3090784	PRJNA397906
SRR5930515	SAMN07498121	SRX3090783	PRJNA397906
SRR5930518	SAMN07498135	SRX3090780	PRJNA397906
SRR5930522	SAMN07498112	SRX3090776	PRJNA397906
SRR5930523	SAMN07498113	SRX3090775	PRJNA397906
SRR5930526	SAMN07498108	SRX3090772	PRJNA397906
SRR5930530	SAMN07498134	SRX3090768	PRJNA397906
SRR5930531	SAMN07498131	SRX3090767	PRJNA397906
SRR5930533	SAMN07498115	SRX3090765	PRJNA397906
SRR5930534	SAMN07498116	SRX3090764	PRJNA397906
SRR5930494	SAMN07498106	SRX3090804	PRJNA397906
SRR5930495	SAMN07498097	SRX3090803	PRJNA397906
SRR5930496	SAMN07498098	SRX3090802	PRJNA397906
SRR5930498	SAMN07498100	SRX3090800	PRJNA397906
SRR5930500	SAMN07498102	SRX3090798	PRJNA397906
SRR5930501	SAMN07498103	SRX3090797	PRJNA397906
SRR5930505	SAMN07498139	SRX3090793	PRJNA397906
SRR5930507	SAMN07498137	SRX3090791	PRJNA397906
SRR5930508	SAMN07498126	SRX3090790	PRJNA397906
SRR5930509	SAMN07498125	SRX3090789	PRJNA397906
SRR5930510	SAMN07498118	SRX3090788	PRJNA397906
SRR5930513	SAMN07498119	SRX3090785	PRJNA397906
SRR5930520	SAMN07498129	SRX3090778	PRJNA397906
SRR5930521	SAMN07498111	SRX3090777	PRJNA397906
SRR5930524	SAMN07498114	SRX3090774	PRJNA397906
SRR5930525	SAMN07498107	SRX3090773	PRJNA397906
SRR5930528	SAMN07498110	SRX3090770	PRJNA397906
SRR5930529	SAMN07498133	SRX3090769	PRJNA397906
SRR5930535	SAMN07498127	SRX3090763	PRJNA397906
SRR5930493	SAMN07498105	SRX3090805	PRJNA397906
SRR5930499	SAMN07498101	SRX3090799	PRJNA397906
SRR5930504	SAMN07498140	SRX3090794	PRJNA397906
SRR5930511	SAMN07498117	SRX3090787	PRJNA397906
SRR5930512	SAMN07498120	SRX3090786	PRJNA397906
SRR5930516	SAMN07498124	SRX3090782	PRJNA397906
SRR5930517	SAMN07498123	SRX3090781	PRJNA397906
SRR5930519	SAMN07498136	SRX3090779	PRJNA397906
SRR5930527	SAMN07498109	SRX3090771	PRJNA397906
SRR5930532	SAMN07498132	SRX3090766	PRJNA397906
SRR5930536	SAMN07498128	SRX3090762	PRJNA397906
