genus	n_folds	folds_selected	folds_nonzero	pct_selected	pct_nonzero_of_sel	sign_pos_frac	mean_coef_nz	direction	binomial_p	bh_fdr_q	fdr_sig
Wujia	79	79	79	100.0	100.0	1.0	0.51019	R+	0.0	0.0	True
Corynebacterium	79	78	66	98.7	84.6	0.879	0.0311	R+	0.0	0.0	True
Barnesiella	79	79	77	100.0	97.5	0.935	0.06741	R+	0.0	0.0	True
Veillonella	79	79	79	100.0	100.0	0.0	-0.23461	NR+	0.0	0.0	True
Longicatena	79	79	74	100.0	93.7	0.905	0.04223	R+	0.0	0.0	True
Solibaculum	79	79	73	100.0	92.4	0.041	-0.09526	NR+	0.0	0.0	True
Emergencia	79	79	78	100.0	98.7	0.013	-0.11139	NR+	0.0	0.0	True
Actinomyces	79	79	79	100.0	100.0	0.0	-0.3092	NR+	0.0	0.0	True
Coprobacter	79	79	79	100.0	100.0	0.038	-0.13595	NR+	0.0	0.0	True
Lactococcus	79	79	79	100.0	100.0	1.0	0.27292	R+	0.0	0.0	True
Lactobacillus	79	79	69	100.0	87.3	0.072	-0.03826	NR+	0.0	0.0	True
Porphyromonas	79	79	79	100.0	100.0	0.0	-0.44867	NR+	0.0	0.0	True
Lacrimispora	79	79	79	100.0	100.0	1.0	0.24341	R+	0.0	0.0	True
Monoglobus	79	79	78	100.0	98.7	0.0	-0.1587	NR+	0.0	0.0	True
Haemophilus	79	79	77	100.0	97.5	0.052	-0.06953	NR+	0.0	0.0	True
Catenibacterium	79	79	75	100.0	94.9	0.067	-0.05409	NR+	0.0	0.0	True
Citrobacter	79	74	68	93.7	91.9	0.015	-0.07323	NR+	0.0	0.0	True
Qiania	79	79	79	100.0	100.0	0.0	-0.39581	NR+	0.0	0.0	True
Desulfovibrio	79	79	79	100.0	100.0	0.987	0.13042	R+	0.0	0.0	True
Odoribacter	79	79	75	100.0	94.9	0.893	0.0453	R+	0.0	0.0	True
Phascolarctobacterium	79	79	79	100.0	100.0	1.0	0.23653	R+	0.0	0.0	True
Schaalia	79	79	78	100.0	98.7	0.0	-0.19389	NR+	0.0	0.0	True
Akkermansia	79	79	78	100.0	98.7	0.974	0.06973	R+	0.0	0.0	True
Methanobrevibacter	79	79	71	100.0	89.9	0.887	0.02702	R+	0.0	0.0	True
Maliibacterium	79	78	77	98.7	98.7	0.974	0.09324	R+	0.0	0.0	True
Eggerthella	79	78	78	98.7	100.0	1.0	0.2287	R+	0.0	0.0	True
Wansuia	79	75	75	94.9	100.0	0.0	-0.21458	NR+	0.0	0.0	True
Cohcovirus	79	75	75	94.9	100.0	1.0	0.33292	R+	0.0	0.0	True
Campylobacter	79	79	79	100.0	100.0	1.0	0.25041	R+	0.0	0.0	True
Rothia	79	79	79	100.0	100.0	1.0	0.20889	R+	0.0	0.0	True
Sutterella	79	79	78	100.0	98.7	0.0	-0.17751	NR+	0.0	0.0	True
Adlercreutzia	79	79	72	100.0	91.1	0.903	0.0364	R+	0.0	0.0	True
Hoylesella	79	77	77	97.5	100.0	1.0	0.55452	R+	0.0	0.0	True
Fusobacterium	79	79	75	100.0	94.9	0.067	-0.07562	NR+	0.0	0.0	True
Megasphaera	79	79	73	100.0	92.4	0.945	0.06034	R+	0.0	0.0	True
Turicibacter	79	79	79	100.0	100.0	0.0	-0.44293	NR+	0.0	0.0	True
Faecalibacillus	79	79	77	100.0	97.5	0.039	-0.06954	NR+	0.0	0.0	True
Christensenella	79	79	79	100.0	100.0	0.987	0.18946	R+	0.0	0.0	True
Romboutsia	79	79	76	100.0	96.2	0.829	0.04167	R+	0.0	0.0	True
Prevotella	79	79	78	100.0	98.7	0.0	-0.16084	NR+	0.0	0.0	True
Klebsiella	79	79	79	100.0	100.0	0.0	-0.21467	NR+	0.0	0.0	True
Sellimonas	79	79	79	100.0	100.0	1.0	0.18515	R+	0.0	0.0	True
Oxalobacter	79	79	78	100.0	98.7	0.962	0.097	R+	0.0	0.0	True
Pseudomonas	79	79	74	100.0	93.7	0.081	-0.05184	NR+	0.0	0.0	True
Marvinbryantia	79	79	74	100.0	93.7	0.162	-0.04622	NR+	0.0	0.0	True
Streptomyces	79	79	79	100.0	100.0	0.0	-0.37552	NR+	0.0	0.0	True
Carjivirus	79	79	77	100.0	97.5	0.831	0.01709	R+	0.0	0.0	True
Staphylococcus	79	79	79	100.0	100.0	1.0	0.26658	R+	0.0	0.0	True
Enterobacter	79	79	79	100.0	100.0	1.0	0.18096	R+	0.0	0.0	True
Blohavirus	79	79	78	100.0	98.7	0.013	-0.21744	NR+	0.0	0.0	True
Escherichia	79	79	78	100.0	98.7	0.987	0.0825	R+	0.0	0.0	True
Paraprevotella	79	79	79	100.0	100.0	0.0	-0.49661	NR+	0.0	0.0	True
Butyricimonas	79	79	70	100.0	88.6	0.886	0.02441	R+	0.0	0.0	True
Gordonibacter	79	79	77	100.0	97.5	0.987	0.08988	R+	0.0	0.0	True
Limosilactobacillus	79	79	79	100.0	100.0	0.987	0.23375	R+	0.0	0.0	True
Paenibacillus	79	79	68	100.0	86.1	0.074	-0.05704	NR+	0.0	0.0	True
Dialister	79	79	79	100.0	100.0	0.987	0.12156	R+	0.0	0.0	True
Megamonas	79	79	65	100.0	82.3	0.169	-0.01893	NR+	0.0	3e-06	True
Acidaminococcus	79	79	54	100.0	68.4	0.778	0.01316	R+	5.2e-05	0.002484	True
Paeniclostridium	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paenarthrobacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
