run_accession	actual	n_features	EN_prob_R	EN_pred	EN_correct	EN_inner_auc	EN_best_C	EN_best_l1	RF_prob_R	RF_pred	RF_correct	RF_inner_auc	RF_best_n_est	RF_best_depth	XGB_prob_R	XGB_pred	XGB_correct	XGB_inner_auc	XGB_best_n_est	XGB_best_depth	XGB_best_lr
ERR10290768	NR	65	0.9249	R	NO	0.5958	1.0	0.7	0.4914	NR	YES	0.56	200	5	0.417	NR	YES	0.5784	100	3	0.1
ERR6229432	NR	65	0.0073	NR	YES	0.6054	1.0	0.7	0.298	NR	YES	0.5197	500	None	0.3256	NR	YES	0.5795	100	2	0.1
ERR6230245	R	65	0.9155	R	YES	0.5583	1.0	0.5	0.3946	NR	NO	0.5122	200	10	0.62	R	YES	0.5762	200	3	0.1
ERR6230278	R	65	0.0225	NR	NO	0.5561	10.0	0.3	0.4	NR	NO	0.5236	200	None	0.1131	NR	NO	0.5655	200	2	0.1
ERR6230326	NR	65	0.5151	R	NO	0.6171	10.0	0.7	0.385	NR	YES	0.5518	200	None	0.5136	R	NO	0.5268	200	2	0.05
ERR6230340	NR	65	0.0031	NR	YES	0.5801	1.0	0.5	0.3341	NR	YES	0.5376	200	10	0.087	NR	YES	0.5011	200	3	0.1
ERR6231475	NR	65	1.0	R	NO	0.5787	10.0	0.3	0.606	R	NO	0.4741	500	None	0.9487	R	NO	0.4917	200	3	0.1
ERR6231548	NR	65	0.0084	NR	YES	0.504	1.0	0.5	0.3882	NR	YES	0.4813	500	5	0.1516	NR	YES	0.5247	200	2	0.05
ERR6231616	R	65	0.1591	NR	NO	0.6036	100.0	0.3	0.4278	NR	NO	0.4694	200	5	0.3029	NR	NO	0.5019	100	3	0.1
ERR6232382	NR	65	0.4509	NR	YES	0.5965	1.0	0.5	0.5883	R	NO	0.4959	200	5	0.5976	R	NO	0.599	200	2	0.05
ERR6232425	NR	65	0.0032	NR	YES	0.5862	1.0	0.5	0.5053	R	NO	0.4855	500	5	0.4928	NR	YES	0.5156	100	3	0.1
