run_accession	actual	predicted_prob_R	predicted_class	correct	n_features
SRR11413606	R	0.0647	NR	NO	61
SRR11413607	NR	1.0	R	NO	60
SRR11413608	R	0.9987	R	YES	61
SRR11413609	R	1.0	R	YES	61
SRR11413610	NR	1.0	R	NO	61
SRR11413611	NR	0.9997	R	NO	61
SRR11413612	R	0.0028	NR	NO	61
SRR11413613	R	0.4567	NR	NO	61
SRR11413614	R	0.0022	NR	NO	61
SRR11413615	NR	0.9821	R	NO	61
SRR11413617	R	0.5142	R	YES	61
SRR11413618	NR	0.0	NR	YES	61
SRR11413619	R	0.0003	NR	NO	60
SRR11413620	R	0.9881	R	YES	61
SRR11413645	R	0.9527	R	YES	60
SRR11413646	NR	0.9919	R	NO	60
SRR11413647	NR	0.8537	R	NO	61
SRR11413648	R	0.0174	NR	NO	61
SRR11413649	R	0.7497	R	YES	61
SRR11413650	R	0.0189	NR	NO	61
SRR11413652	R	0.3016	NR	NO	60
SRR11413653	NR	0.0058	NR	YES	61
SRR11413654	R	0.4377	NR	NO	61
SRR11413655	NR	0.0239	NR	YES	61
SRR11413656	R	0.2912	NR	NO	61
SRR11413657	R	0.0001	NR	NO	61
SRR11413678	R	0.0	NR	NO	61
SRR11413679	R	0.9868	R	YES	61
SRR11413680	NR	0.9991	R	NO	60
SRR11413681	R	0.0008	NR	NO	61
SRR11413683	R	0.5857	R	YES	61
SRR11413684	R	0.9913	R	YES	61
SRR11413685	NR	1.0	R	NO	61
SRR11413686	NR	1.0	R	NO	61
SRR11413687	R	0.0157	NR	NO	61
SRR11413688	NR	0.0069	NR	YES	61
SRR11413689	NR	0.0001	NR	YES	61
SRR11413690	R	0.0971	NR	NO	61
SRR11413691	NR	0.9997	R	NO	61
SRR11413692	R	0.0969	NR	NO	60
SRR5930493	NR	0.0	NR	YES	60
SRR5930494	R	0.4491	NR	NO	61
SRR5930495	R	0.9999	R	YES	61
SRR5930497	R	0.07	NR	NO	60
SRR5930498	R	0.1108	NR	NO	61
SRR5930499	R	1.0	R	YES	61
SRR5930501	NR	1.0	R	NO	61
SRR5930502	R	0.0183	NR	NO	61
SRR5930503	R	0.0008	NR	NO	60
SRR5930504	R	1.0	R	YES	61
SRR5930505	R	0.9982	R	YES	61
SRR5930506	R	0.9999	R	YES	61
SRR5930507	NR	0.9326	R	NO	61
SRR5930508	NR	0.8522	R	NO	61
SRR5930509	NR	1.0	R	NO	61
SRR5930510	NR	1.0	R	NO	60
SRR5930511	R	0.0	NR	NO	61
SRR5930512	R	0.0372	NR	NO	60
SRR5930513	R	0.9982	R	YES	61
SRR5930514	R	0.0	NR	NO	61
SRR5930515	NR	0.0014	NR	YES	61
SRR5930516	R	0.0	NR	NO	61
SRR5930517	NR	1.0	R	NO	61
SRR5930518	NR	0.3285	NR	YES	61
SRR5930519	NR	0.2609	NR	YES	61
SRR5930520	NR	0.1784	NR	YES	61
SRR5930521	NR	0.0557	NR	YES	60
SRR5930522	NR	0.8639	R	NO	61
SRR5930523	R	0.0007	NR	NO	60
SRR5930526	NR	0.8603	R	NO	60
SRR5930527	R	0.8723	R	YES	61
SRR5930528	NR	1.0	R	NO	61
SRR5930529	R	0.7536	R	YES	61
SRR5930530	R	0.1261	NR	NO	60
SRR5930531	R	0.9995	R	YES	61
SRR5930532	R	0.3171	NR	NO	61
SRR5930533	R	0.0002	NR	NO	61
SRR5930534	R	1.0	R	YES	61
SRR5930536	R	0.0	NR	NO	61
