run_accession	actual	predicted_prob_R	predicted_class	correct	n_features
SRR11413606	R	0.0184	NR	NO	61
SRR11413607	NR	1.0	R	NO	60
SRR11413608	R	0.9999	R	YES	61
SRR11413609	R	1.0	R	YES	61
SRR11413610	NR	1.0	R	NO	61
SRR11413611	NR	1.0	R	NO	61
SRR11413612	R	0.0019	NR	NO	61
SRR11413613	R	0.2996	NR	NO	61
SRR11413614	R	0.0018	NR	NO	61
SRR11413615	NR	0.9981	R	NO	61
SRR11413617	R	0.2339	NR	NO	61
SRR11413618	NR	0.0	NR	YES	61
SRR11413619	R	0.0	NR	NO	60
SRR11413620	R	0.7471	R	YES	61
SRR11413645	R	0.9872	R	YES	60
SRR11413646	NR	0.9988	R	NO	60
SRR11413647	NR	0.9761	R	NO	61
SRR11413648	R	0.0015	NR	NO	61
SRR11413649	R	0.0963	NR	NO	61
SRR11413650	R	0.01	NR	NO	61
SRR11413652	R	0.5787	R	YES	60
SRR11413653	NR	0.0002	NR	YES	61
SRR11413654	R	0.9537	R	YES	61
SRR11413655	NR	0.0035	NR	YES	61
SRR11413656	R	0.1373	NR	NO	61
SRR11413657	R	0.0	NR	NO	61
SRR11413678	R	0.0	NR	NO	61
SRR11413679	R	0.9954	R	YES	61
SRR11413680	NR	0.999	R	NO	60
SRR11413681	R	0.0001	NR	NO	61
SRR11413683	R	0.1103	NR	NO	61
SRR11413684	R	0.9996	R	YES	61
SRR11413685	NR	1.0	R	NO	61
SRR11413686	NR	1.0	R	NO	61
SRR11413687	R	0.001	NR	NO	61
SRR11413688	NR	0.0002	NR	YES	61
SRR11413689	NR	0.0	NR	YES	61
SRR11413690	R	0.0222	NR	NO	61
SRR11413691	NR	1.0	R	NO	61
SRR11413692	R	0.039	NR	NO	60
SRR5930493	NR	0.0	NR	YES	60
SRR5930494	R	0.152	NR	NO	61
SRR5930495	R	1.0	R	YES	61
SRR5930497	R	0.3413	NR	NO	60
SRR5930498	R	0.1583	NR	NO	61
SRR5930499	R	1.0	R	YES	61
SRR5930501	NR	1.0	R	NO	61
SRR5930502	R	0.0104	NR	NO	61
SRR5930503	R	0.0006	NR	NO	60
SRR5930504	R	1.0	R	YES	61
SRR5930505	R	0.9996	R	YES	61
SRR5930506	R	1.0	R	YES	61
SRR5930507	NR	0.9138	R	NO	61
SRR5930508	NR	0.8661	R	NO	61
SRR5930509	NR	1.0	R	NO	61
SRR5930510	NR	1.0	R	NO	60
SRR5930511	R	0.0	NR	NO	61
SRR5930512	R	0.0043	NR	NO	60
SRR5930513	R	0.9941	R	YES	61
SRR5930514	R	0.0	NR	NO	61
SRR5930515	NR	0.0004	NR	YES	61
SRR5930516	R	0.0	NR	NO	61
SRR5930517	NR	1.0	R	NO	61
SRR5930518	NR	0.1633	NR	YES	61
SRR5930519	NR	0.4654	NR	YES	61
SRR5930520	NR	0.3426	NR	YES	61
SRR5930521	NR	0.0137	NR	YES	60
SRR5930522	NR	0.9714	R	NO	61
SRR5930523	R	0.0	NR	NO	60
SRR5930526	NR	0.9535	R	NO	60
SRR5930527	R	0.4042	NR	NO	61
SRR5930528	NR	1.0	R	NO	61
SRR5930529	R	0.7136	R	YES	61
SRR5930530	R	0.0915	NR	NO	60
SRR5930531	R	1.0	R	YES	61
SRR5930532	R	0.3041	NR	NO	61
SRR5930533	R	0.0	NR	NO	61
SRR5930534	R	1.0	R	YES	61
SRR5930536	R	0.0	NR	NO	61
