run_accession	actual	predicted_prob_R	predicted_class	correct	n_features
SRR11413606	R	0.618	R	YES	61
SRR11413607	NR	0.806	R	NO	60
SRR11413608	R	0.676	R	YES	61
SRR11413609	R	0.598	R	YES	61
SRR11413610	NR	0.804	R	NO	61
SRR11413611	NR	0.744	R	NO	61
SRR11413612	R	0.514	R	YES	61
SRR11413613	R	0.686	R	YES	61
SRR11413614	R	0.536	R	YES	61
SRR11413615	NR	0.696	R	NO	61
SRR11413617	R	0.45	NR	NO	61
SRR11413618	NR	0.714	R	NO	61
SRR11413619	R	0.498	NR	NO	60
SRR11413620	R	0.56	R	YES	61
SRR11413645	R	0.572	R	YES	60
SRR11413646	NR	0.73	R	NO	60
SRR11413647	NR	0.756	R	NO	61
SRR11413648	R	0.718	R	YES	61
SRR11413649	R	0.652	R	YES	61
SRR11413650	R	0.496	NR	NO	61
SRR11413652	R	0.538	R	YES	60
SRR11413653	NR	0.614	R	NO	61
SRR11413654	R	0.736	R	YES	61
SRR11413655	NR	0.588	R	NO	61
SRR11413656	R	0.69	R	YES	61
SRR11413657	R	0.576	R	YES	61
SRR11413678	R	0.614	R	YES	61
SRR11413679	R	0.452	NR	NO	61
SRR11413680	NR	0.564	R	NO	60
SRR11413681	R	0.68	R	YES	61
SRR11413683	R	0.724	R	YES	61
SRR11413684	R	0.598	R	YES	61
SRR11413685	NR	0.614	R	NO	61
SRR11413686	NR	0.72	R	NO	61
SRR11413687	R	0.594	R	YES	61
SRR11413688	NR	0.624	R	NO	61
SRR11413689	NR	0.632	R	NO	61
SRR11413690	R	0.626	R	YES	61
SRR11413691	NR	0.478	NR	YES	61
SRR11413692	R	0.546	R	YES	60
SRR5930493	NR	0.436	NR	YES	60
SRR5930494	R	0.686	R	YES	61
SRR5930495	R	0.718	R	YES	61
SRR5930497	R	0.67	R	YES	60
SRR5930498	R	0.546	R	YES	61
SRR5930499	R	0.468	NR	NO	61
SRR5930501	NR	0.67	R	NO	61
SRR5930502	R	0.452	NR	NO	61
SRR5930503	R	0.446	NR	NO	60
SRR5930504	R	0.776	R	YES	61
SRR5930505	R	0.668	R	YES	61
SRR5930506	R	0.582	R	YES	61
SRR5930507	NR	0.814	R	NO	61
SRR5930508	NR	0.46	NR	YES	61
SRR5930509	NR	0.608	R	NO	61
SRR5930510	NR	0.706	R	NO	60
SRR5930511	R	0.65	R	YES	61
SRR5930512	R	0.43	NR	NO	60
SRR5930513	R	0.562	R	YES	61
SRR5930514	R	0.504	R	YES	61
SRR5930515	NR	0.826	R	NO	61
SRR5930516	R	0.506	R	YES	61
SRR5930517	NR	0.704	R	NO	61
SRR5930518	NR	0.494	NR	YES	61
SRR5930519	NR	0.798	R	NO	61
SRR5930520	NR	0.51	R	NO	61
SRR5930521	NR	0.768	R	NO	60
SRR5930522	NR	0.648	R	NO	61
SRR5930523	R	0.696	R	YES	60
SRR5930526	NR	0.534	R	NO	60
SRR5930527	R	0.7	R	YES	61
SRR5930528	NR	0.778	R	NO	61
SRR5930529	R	0.702	R	YES	61
SRR5930530	R	0.536	R	YES	60
SRR5930531	R	0.704	R	YES	61
SRR5930532	R	0.53	R	YES	61
SRR5930533	R	0.498	NR	NO	61
SRR5930534	R	0.528	R	YES	61
SRR5930536	R	0.68	R	YES	61
