genus	folds_selected	folds_nonzero	pct_nonzero	avg_coef_nonzero	direction
Wujia	79	79	100.0	0.51	R+
Klebsiella	79	79	100.0	-0.2147	NR+
Christensenella	79	79	100.0	0.1901	R+
Turicibacter	79	79	100.0	-0.4425	NR+
Campylobacter	79	79	100.0	0.25	R+
Sellimonas	79	79	100.0	0.1866	R+
Porphyromonas	79	79	100.0	-0.4498	NR+
Lactococcus	79	79	100.0	0.2726	R+
Paraprevotella	79	79	100.0	-0.496	NR+
Desulfovibrio	79	79	100.0	0.1299	R+
Phascolarctobacterium	79	79	100.0	0.2372	R+
Actinomyces	79	79	100.0	-0.3092	NR+
Escherichia	79	79	100.0	0.0821	R+
Veillonella	79	79	100.0	-0.2355	NR+
Rothia	79	79	100.0	0.2096	R+
Streptomyces	79	79	100.0	-0.3753	NR+
Dialister	79	79	100.0	0.1221	R+
Limosilactobacillus	79	79	100.0	0.2333	R+
Coprobacter	79	79	100.0	-0.1372	NR+
Lacrimispora	79	79	100.0	0.244	R+
Staphylococcus	79	79	100.0	0.2666	R+
Qiania	79	79	100.0	-0.3971	NR+
Enterobacter	79	79	100.0	0.181	R+
Eggerthella	78	78	100.0	0.2288	R+
Schaalia	79	78	98.7	-0.1943	NR+
Sutterella	79	78	98.7	-0.1779	NR+
Akkermansia	79	78	98.7	0.0698	R+
Emergencia	79	78	98.7	-0.1105	NR+
Monoglobus	79	78	98.7	-0.1591	NR+
Oxalobacter	79	78	98.7	0.0967	R+
Blohavirus	79	78	98.7	-0.2174	NR+
Prevotella	79	78	98.7	-0.1621	NR+
Hoylesella	77	77	100.0	0.5555	R+
Maliibacterium	78	77	98.7	0.0919	R+
Gordonibacter	79	77	97.5	0.0892	R+
Carjivirus	79	77	97.5	0.0174	R+
Haemophilus	79	77	97.5	-0.0695	NR+
Barnesiella	79	77	97.5	0.0673	R+
Marvinbryantia	79	76	96.2	-0.0452	NR+
Faecalibacillus	79	76	96.2	-0.0698	NR+
Romboutsia	79	76	96.2	0.0415	R+
Cohcovirus	75	75	100.0	0.3349	R+
Wansuia	75	75	100.0	-0.2155	NR+
Catenibacterium	79	75	94.9	-0.0543	NR+
Odoribacter	79	75	94.9	0.046	R+
Methanobrevibacter	79	75	94.9	0.0262	R+
Fusobacterium	79	75	94.9	-0.0751	NR+
Adlercreutzia	79	75	94.9	0.0352	R+
Megasphaera	79	74	93.7	0.0597	R+
Pseudomonas	79	74	93.7	-0.0524	NR+
Longicatena	79	73	92.4	0.0434	R+
Solibaculum	79	73	92.4	-0.095	NR+
Butyricimonas	79	71	89.9	0.0237	R+
Megamonas	79	69	87.3	-0.0179	NR+
Citrobacter	74	68	91.9	-0.0732	NR+
Corynebacterium	78	68	87.2	0.0309	R+
Paenibacillus	79	68	86.1	-0.0569	NR+
Collinsella	79	67	84.8	-0.0077	NR+
Lactobacillus	79	67	84.8	-0.0393	NR+
Acidaminococcus	79	53	67.1	0.013	R+
Ligilactobacillus	79	45	57.0	0.016	R+
Kingevirus	1	1	100.0	-0.538	NR+
