run_accession	actual	predicted_prob_R	predicted_class	correct	n_features
SRR11413606	R	0.153	NR	NO	61
SRR11413607	NR	0.9998	R	NO	60
SRR11413608	R	0.9797	R	YES	61
SRR11413609	R	1.0	R	YES	61
SRR11413610	NR	1.0	R	NO	61
SRR11413611	NR	0.9802	R	NO	61
SRR11413612	R	0.0005	NR	NO	61
SRR11413613	R	0.0579	NR	NO	61
SRR11413614	R	0.0056	NR	NO	61
SRR11413615	NR	0.9468	R	NO	61
SRR11413617	R	0.0264	NR	NO	61
SRR11413618	NR	0.0	NR	YES	61
SRR11413619	R	0.0605	NR	NO	60
SRR11413620	R	0.9863	R	YES	61
SRR11413645	R	0.6145	R	YES	60
SRR11413646	NR	0.5186	R	NO	60
SRR11413647	NR	0.3924	NR	YES	61
SRR11413648	R	0.1162	NR	NO	61
SRR11413649	R	0.9364	R	YES	61
SRR11413650	R	0.009	NR	NO	61
SRR11413652	R	0.0764	NR	NO	60
SRR11413653	NR	0.0136	NR	YES	61
SRR11413654	R	0.118	NR	NO	61
SRR11413655	NR	0.0248	NR	YES	61
SRR11413656	R	0.3736	NR	NO	61
SRR11413657	R	0.0002	NR	NO	61
SRR11413678	R	0.0	NR	NO	61
SRR11413679	R	0.9946	R	YES	61
SRR11413680	NR	0.9914	R	NO	60
SRR11413681	R	0.0032	NR	NO	61
SRR11413683	R	0.9516	R	YES	61
SRR11413684	R	0.9542	R	YES	61
SRR11413685	NR	0.9995	R	NO	61
SRR11413686	NR	1.0	R	NO	61
SRR11413687	R	0.4008	NR	NO	61
SRR11413688	NR	0.0002	NR	YES	61
SRR11413689	NR	0.0004	NR	YES	61
SRR11413690	R	0.004	NR	NO	61
SRR11413691	NR	0.9956	R	NO	61
SRR11413692	R	0.0797	NR	NO	60
SRR5930493	NR	0.0	NR	YES	60
SRR5930494	R	0.9225	R	YES	61
SRR5930495	R	0.9927	R	YES	61
SRR5930497	R	0.0282	NR	NO	60
SRR5930498	R	0.0566	NR	NO	61
SRR5930499	R	0.9924	R	YES	61
SRR5930501	NR	0.9999	R	NO	61
SRR5930502	R	0.0011	NR	NO	61
SRR5930503	R	0.8286	R	YES	60
SRR5930504	R	0.9999	R	YES	61
SRR5930505	R	0.9699	R	YES	61
SRR5930506	R	1.0	R	YES	61
SRR5930507	NR	0.2094	NR	YES	61
SRR5930508	NR	0.1115	NR	YES	61
SRR5930509	NR	1.0	R	NO	61
SRR5930510	NR	1.0	R	NO	60
SRR5930511	R	0.0004	NR	NO	61
SRR5930512	R	0.0233	NR	NO	60
SRR5930513	R	0.9988	R	YES	61
SRR5930514	R	0.0	NR	NO	61
SRR5930515	NR	0.0	NR	YES	61
SRR5930516	R	0.0016	NR	NO	61
SRR5930517	NR	1.0	R	NO	61
SRR5930518	NR	0.0062	NR	YES	61
SRR5930519	NR	0.1831	NR	YES	61
SRR5930520	NR	0.0355	NR	YES	61
SRR5930521	NR	0.8684	R	NO	60
SRR5930522	NR	0.0076	NR	YES	61
SRR5930523	R	0.0448	NR	NO	60
SRR5930526	NR	0.344	NR	YES	60
SRR5930527	R	0.98	R	YES	61
SRR5930528	NR	1.0	R	NO	61
SRR5930529	R	0.9861	R	YES	61
SRR5930530	R	0.998	R	YES	60
SRR5930531	R	0.9911	R	YES	61
SRR5930532	R	0.1938	NR	NO	61
SRR5930533	R	0.0	NR	NO	61
SRR5930534	R	1.0	R	YES	61
SRR5930536	R	0.0	NR	NO	61
