run_accession	actual	predicted_prob_R	predicted_class	correct	n_features
SRR11413606	R	0.951	R	YES	61
SRR11413607	NR	1.0	R	NO	60
SRR11413608	R	0.7371	R	YES	61
SRR11413609	R	1.0	R	YES	61
SRR11413610	NR	1.0	R	NO	61
SRR11413611	NR	0.8562	R	NO	61
SRR11413612	R	0.0	NR	NO	61
SRR11413613	R	0.0132	NR	NO	61
SRR11413614	R	0.0157	NR	NO	61
SRR11413615	NR	0.9978	R	NO	61
SRR11413617	R	0.0014	NR	NO	61
SRR11413618	NR	0.0001	NR	YES	61
SRR11413619	R	0.0314	NR	NO	60
SRR11413620	R	1.0	R	YES	61
SRR11413645	R	0.994	R	YES	60
SRR11413646	NR	0.9812	R	NO	60
SRR11413647	NR	0.3745	NR	YES	61
SRR11413648	R	0.0565	NR	NO	61
SRR11413649	R	0.0162	NR	NO	61
SRR11413650	R	0.0	NR	NO	61
SRR11413652	R	0.0451	NR	NO	60
SRR11413653	NR	0.0133	NR	YES	61
SRR11413654	R	0.0248	NR	NO	61
SRR11413655	NR	0.0014	NR	YES	61
SRR11413656	R	0.0797	NR	NO	61
SRR11413657	R	0.0	NR	NO	61
SRR11413678	R	0.0	NR	NO	61
SRR11413679	R	0.9067	R	YES	61
SRR11413680	NR	0.9945	R	NO	60
SRR11413681	R	0.0276	NR	NO	61
SRR11413683	R	0.1208	NR	NO	61
SRR11413684	R	0.9773	R	YES	61
SRR11413685	NR	1.0	R	NO	61
SRR11413686	NR	1.0	R	NO	61
SRR11413687	R	0.0388	NR	NO	61
SRR11413688	NR	0.0	NR	YES	61
SRR11413689	NR	0.0	NR	YES	61
SRR11413690	R	0.0109	NR	NO	61
SRR11413691	NR	0.9998	R	NO	61
SRR11413692	R	0.0083	NR	NO	60
SRR5930493	NR	0.0	NR	YES	60
SRR5930494	R	0.9993	R	YES	61
SRR5930495	R	0.7723	R	YES	61
SRR5930497	R	0.0095	NR	NO	60
SRR5930498	R	0.9954	R	YES	61
SRR5930499	R	1.0	R	YES	61
SRR5930501	NR	1.0	R	NO	61
SRR5930502	R	0.577	R	YES	61
SRR5930503	R	0.5671	R	YES	60
SRR5930504	R	1.0	R	YES	61
SRR5930505	R	1.0	R	YES	61
SRR5930506	R	0.9998	R	YES	61
SRR5930507	NR	0.0347	NR	YES	61
SRR5930508	NR	0.0937	NR	YES	61
SRR5930509	NR	1.0	R	NO	61
SRR5930510	NR	1.0	R	NO	60
SRR5930511	R	0.0	NR	NO	61
SRR5930512	R	0.8799	R	YES	60
SRR5930513	R	1.0	R	YES	61
SRR5930514	R	0.0	NR	NO	61
SRR5930515	NR	0.0159	NR	YES	61
SRR5930516	R	0.0	NR	NO	61
SRR5930517	NR	1.0	R	NO	61
SRR5930518	NR	0.0806	NR	YES	61
SRR5930519	NR	0.9969	R	NO	61
SRR5930520	NR	0.0391	NR	YES	61
SRR5930521	NR	0.2579	NR	YES	60
SRR5930522	NR	0.9883	R	NO	61
SRR5930523	R	0.0	NR	NO	60
SRR5930526	NR	0.226	NR	YES	60
SRR5930527	R	0.9998	R	YES	61
SRR5930528	NR	1.0	R	NO	61
SRR5930529	R	0.7626	R	YES	61
SRR5930530	R	0.9984	R	YES	60
SRR5930531	R	0.9999	R	YES	61
SRR5930532	R	0.0454	NR	NO	61
SRR5930533	R	0.0	NR	NO	61
SRR5930534	R	1.0	R	YES	61
SRR5930536	R	0.0	NR	NO	61
