run_accession	actual	predicted_prob_R	predicted_class	correct	n_features
SRR11413606	R	0.0515	NR	NO	61
SRR11413607	NR	1.0	R	NO	60
SRR11413608	R	0.9836	R	YES	61
SRR11413609	R	1.0	R	YES	61
SRR11413610	NR	1.0	R	NO	61
SRR11413611	NR	0.9951	R	NO	61
SRR11413612	R	0.0001	NR	NO	61
SRR11413613	R	0.056	NR	NO	61
SRR11413614	R	0.0063	NR	NO	61
SRR11413615	NR	0.9991	R	NO	61
SRR11413617	R	0.0016	NR	NO	61
SRR11413618	NR	0.0	NR	YES	61
SRR11413619	R	0.0206	NR	NO	60
SRR11413620	R	0.9998	R	YES	61
SRR11413645	R	0.9521	R	YES	60
SRR11413646	NR	0.6739	R	NO	60
SRR11413647	NR	0.4169	NR	YES	61
SRR11413648	R	0.0023	NR	NO	61
SRR11413649	R	0.6299	R	YES	61
SRR11413650	R	0.0005	NR	NO	61
SRR11413652	R	0.0659	NR	NO	60
SRR11413653	NR	0.0065	NR	YES	61
SRR11413654	R	0.4985	NR	NO	61
SRR11413655	NR	0.0008	NR	YES	61
SRR11413656	R	0.0705	NR	NO	61
SRR11413657	R	0.0	NR	NO	61
SRR11413678	R	0.0	NR	NO	61
SRR11413679	R	0.9976	R	YES	61
SRR11413680	NR	0.9964	R	NO	60
SRR11413681	R	0.0009	NR	NO	61
SRR11413683	R	0.9819	R	YES	61
SRR11413684	R	0.9608	R	YES	61
SRR11413685	NR	1.0	R	NO	61
SRR11413686	NR	1.0	R	NO	61
SRR11413687	R	0.0669	NR	NO	61
SRR11413688	NR	0.0	NR	YES	61
SRR11413689	NR	0.0001	NR	YES	61
SRR11413690	R	0.0001	NR	NO	61
SRR11413691	NR	0.9997	R	NO	61
SRR11413692	R	0.0481	NR	NO	60
SRR5930493	NR	0.0	NR	YES	60
SRR5930494	R	0.8008	R	YES	61
SRR5930495	R	0.9708	R	YES	61
SRR5930497	R	0.0449	NR	NO	60
SRR5930498	R	0.0682	NR	NO	61
SRR5930499	R	0.8377	R	YES	61
SRR5930501	NR	1.0	R	NO	61
SRR5930502	R	0.0009	NR	NO	61
SRR5930503	R	0.5588	R	YES	60
SRR5930504	R	1.0	R	YES	61
SRR5930505	R	0.9995	R	YES	61
SRR5930506	R	1.0	R	YES	61
SRR5930507	NR	0.0293	NR	YES	61
SRR5930508	NR	0.0104	NR	YES	61
SRR5930509	NR	1.0	R	NO	61
SRR5930510	NR	1.0	R	NO	60
SRR5930511	R	0.0015	NR	NO	61
SRR5930512	R	0.0348	NR	NO	60
SRR5930513	R	0.9998	R	YES	61
SRR5930514	R	0.0	NR	NO	61
SRR5930515	NR	0.0	NR	YES	61
SRR5930516	R	0.6015	R	YES	61
SRR5930517	NR	1.0	R	NO	61
SRR5930518	NR	0.0528	NR	YES	61
SRR5930519	NR	0.1681	NR	YES	61
SRR5930520	NR	0.0177	NR	YES	61
SRR5930521	NR	0.8959	R	NO	60
SRR5930522	NR	0.0055	NR	YES	61
SRR5930523	R	0.0084	NR	NO	60
SRR5930526	NR	0.2049	NR	YES	60
SRR5930527	R	0.9953	R	YES	61
SRR5930528	NR	1.0	R	NO	61
SRR5930529	R	0.9813	R	YES	61
SRR5930530	R	0.9989	R	YES	60
SRR5930531	R	0.9976	R	YES	61
SRR5930532	R	0.2288	NR	NO	61
SRR5930533	R	0.0	NR	NO	61
SRR5930534	R	1.0	R	YES	61
SRR5930536	R	0.0	NR	NO	61
