run_accession	actual	predicted_prob_R	predicted_class	correct	n_features
SRR11413606	R	0.558	R	YES	61
SRR11413607	NR	0.736	R	NO	60
SRR11413608	R	0.63	R	YES	61
SRR11413609	R	0.494	NR	NO	61
SRR11413610	NR	0.764	R	NO	61
SRR11413611	NR	0.73	R	NO	61
SRR11413612	R	0.53	R	YES	61
SRR11413613	R	0.618	R	YES	61
SRR11413614	R	0.514	R	YES	61
SRR11413615	NR	0.728	R	NO	61
SRR11413617	R	0.312	NR	NO	61
SRR11413618	NR	0.706	R	NO	61
SRR11413619	R	0.5	R	YES	60
SRR11413620	R	0.678	R	YES	61
SRR11413645	R	0.568	R	YES	60
SRR11413646	NR	0.708	R	NO	60
SRR11413647	NR	0.784	R	NO	61
SRR11413648	R	0.618	R	YES	61
SRR11413649	R	0.648	R	YES	61
SRR11413650	R	0.524	R	YES	61
SRR11413652	R	0.502	R	YES	60
SRR11413653	NR	0.704	R	NO	61
SRR11413654	R	0.682	R	YES	61
SRR11413655	NR	0.58	R	NO	61
SRR11413656	R	0.608	R	YES	61
SRR11413657	R	0.554	R	YES	61
SRR11413678	R	0.532	R	YES	61
SRR11413679	R	0.47	NR	NO	61
SRR11413680	NR	0.622	R	NO	60
SRR11413681	R	0.508	R	YES	61
SRR11413683	R	0.642	R	YES	61
SRR11413684	R	0.602	R	YES	61
SRR11413685	NR	0.55	R	NO	61
SRR11413686	NR	0.764	R	NO	61
SRR11413687	R	0.578	R	YES	61
SRR11413688	NR	0.586	R	NO	61
SRR11413689	NR	0.674	R	NO	61
SRR11413690	R	0.67	R	YES	61
SRR11413691	NR	0.552	R	NO	61
SRR11413692	R	0.542	R	YES	60
SRR5930493	NR	0.496	NR	YES	60
SRR5930494	R	0.732	R	YES	61
SRR5930495	R	0.746	R	YES	61
SRR5930497	R	0.542	R	YES	60
SRR5930498	R	0.62	R	YES	61
SRR5930499	R	0.562	R	YES	61
SRR5930501	NR	0.694	R	NO	61
SRR5930502	R	0.344	NR	NO	61
SRR5930503	R	0.714	R	YES	60
SRR5930504	R	0.82	R	YES	61
SRR5930505	R	0.702	R	YES	61
SRR5930506	R	0.606	R	YES	61
SRR5930507	NR	0.804	R	NO	61
SRR5930508	NR	0.554	R	NO	61
SRR5930509	NR	0.708	R	NO	61
SRR5930510	NR	0.802	R	NO	60
SRR5930511	R	0.716	R	YES	61
SRR5930512	R	0.5	R	YES	60
SRR5930513	R	0.596	R	YES	61
SRR5930514	R	0.584	R	YES	61
SRR5930515	NR	0.76	R	NO	61
SRR5930516	R	0.582	R	YES	61
SRR5930517	NR	0.694	R	NO	61
SRR5930518	NR	0.566	R	NO	61
SRR5930519	NR	0.7	R	NO	61
SRR5930520	NR	0.512	R	NO	61
SRR5930521	NR	0.774	R	NO	60
SRR5930522	NR	0.672	R	NO	61
SRR5930523	R	0.656	R	YES	60
SRR5930526	NR	0.57	R	NO	60
SRR5930527	R	0.746	R	YES	61
SRR5930528	NR	0.82	R	NO	61
SRR5930529	R	0.704	R	YES	61
SRR5930530	R	0.696	R	YES	60
SRR5930531	R	0.688	R	YES	61
SRR5930532	R	0.584	R	YES	61
SRR5930533	R	0.548	R	YES	61
SRR5930534	R	0.654	R	YES	61
SRR5930536	R	0.576	R	YES	61
