run_accession	actual	predicted_prob_R	predicted_class	correct	n_features
SRR11413606	R	0.728	R	YES	61
SRR11413607	NR	0.414	NR	YES	60
SRR11413608	R	0.884	R	YES	61
SRR11413609	R	0.826	R	YES	61
SRR11413610	NR	0.338	NR	YES	61
SRR11413611	NR	0.204	NR	YES	61
SRR11413612	R	0.888	R	YES	61
SRR11413613	R	0.956	R	YES	61
SRR11413614	R	0.924	R	YES	61
SRR11413615	NR	0.256	NR	YES	61
SRR11413617	R	0.688	R	YES	61
SRR11413618	NR	0.326	NR	YES	61
SRR11413619	R	0.812	R	YES	60
SRR11413620	R	0.95	R	YES	61
SRR11413645	R	0.916	R	YES	60
SRR11413646	NR	0.25	NR	YES	60
SRR11413647	NR	0.128	NR	YES	61
SRR11413648	R	0.886	R	YES	61
SRR11413649	R	0.94	R	YES	61
SRR11413650	R	0.71	R	YES	61
SRR11413652	R	0.782	R	YES	60
SRR11413653	NR	0.09	NR	YES	61
SRR11413654	R	0.868	R	YES	61
SRR11413655	NR	0.438	NR	YES	61
SRR11413656	R	0.896	R	YES	61
SRR11413657	R	0.696	R	YES	61
SRR11413678	R	0.882	R	YES	61
SRR11413679	R	0.846	R	YES	61
SRR11413680	NR	0.554	R	NO	60
SRR11413681	R	0.714	R	YES	61
SRR11413683	R	0.532	R	YES	61
SRR11413684	R	0.932	R	YES	61
SRR11413685	NR	0.29	NR	YES	61
SRR11413686	NR	0.122	NR	YES	61
SRR11413687	R	0.896	R	YES	61
SRR11413688	NR	0.156	NR	YES	61
SRR11413689	NR	0.176	NR	YES	61
SRR11413690	R	0.944	R	YES	61
SRR11413691	NR	0.124	NR	YES	61
SRR11413692	R	0.912	R	YES	60
SRR5930493	NR	0.248	NR	YES	60
SRR5930494	R	0.916	R	YES	61
SRR5930495	R	0.846	R	YES	61
SRR5930497	R	0.838	R	YES	60
SRR5930498	R	0.562	R	YES	61
SRR5930499	R	0.704	R	YES	61
SRR5930501	NR	0.428	NR	YES	61
SRR5930502	R	0.524	R	YES	61
SRR5930503	R	0.756	R	YES	60
SRR5930504	R	0.944	R	YES	61
SRR5930505	R	0.836	R	YES	61
SRR5930506	R	0.858	R	YES	61
SRR5930507	NR	0.388	NR	YES	61
SRR5930508	NR	0.412	NR	YES	61
SRR5930509	NR	0.438	NR	YES	61
SRR5930510	NR	0.596	R	NO	60
SRR5930511	R	0.88	R	YES	61
SRR5930512	R	0.552	R	YES	60
SRR5930513	R	0.786	R	YES	61
SRR5930514	R	0.632	R	YES	61
SRR5930515	NR	0.51	R	NO	61
SRR5930516	R	0.618	R	YES	61
SRR5930517	NR	0.366	NR	YES	61
SRR5930518	NR	0.198	NR	YES	61
SRR5930519	NR	0.454	NR	YES	61
SRR5930520	NR	0.344	NR	YES	61
SRR5930521	NR	0.484	NR	YES	60
SRR5930522	NR	0.436	NR	YES	61
SRR5930523	R	0.788	R	YES	60
SRR5930526	NR	0.212	NR	YES	60
SRR5930527	R	0.882	R	YES	61
SRR5930528	NR	0.356	NR	YES	61
SRR5930529	R	0.888	R	YES	61
SRR5930530	R	0.808	R	YES	60
SRR5930531	R	0.832	R	YES	61
SRR5930532	R	0.832	R	YES	61
SRR5930533	R	0.874	R	YES	61
SRR5930534	R	0.834	R	YES	61
SRR5930536	R	0.894	R	YES	61
