genus	folds_selected	folds_nonzero	pct_nonzero	avg_coef_nonzero	direction
Wujia	79	79	100.0	0.6342	R+
Klebsiella	79	79	100.0	-0.2428	NR+
Christensenella	79	79	100.0	0.2442	R+
Catenibacterium	79	79	100.0	-0.1215	NR+
Turicibacter	79	79	100.0	-0.3427	NR+
Campylobacter	79	79	100.0	0.2374	R+
Schaalia	79	79	100.0	-0.3615	NR+
Sutterella	79	79	100.0	-0.0985	NR+
Porphyromonas	79	79	100.0	-0.4076	NR+
Eggerthella	79	79	100.0	0.1944	R+
Lactococcus	79	79	100.0	0.3159	R+
Akkermansia	79	79	100.0	0.1467	R+
Paraprevotella	79	79	100.0	-0.5244	NR+
Desulfovibrio	79	79	100.0	0.1321	R+
Emergencia	79	79	100.0	-0.0996	NR+
Phascolarctobacterium	79	79	100.0	0.1314	R+
Collinsella	79	79	100.0	-0.0875	NR+
Carjivirus	79	79	100.0	-0.1433	NR+
Actinomyces	79	79	100.0	-0.3325	NR+
Faecalitalea	79	79	100.0	0.4126	R+
Monoglobus	79	79	100.0	-0.1772	NR+
Rothia	79	79	100.0	0.257	R+
Veillonella	79	79	100.0	-0.1178	NR+
Wansuia	79	79	100.0	-0.3444	NR+
Dialister	79	79	100.0	0.1861	R+
Streptomyces	79	79	100.0	-0.2496	NR+
Lacrimispora	79	79	100.0	0.1899	R+
Faecalibacillus	79	79	100.0	-0.1029	NR+
Qiania	79	79	100.0	-0.171	NR+
Massilistercora	79	79	100.0	-0.147	NR+
Enterobacter	79	79	100.0	0.2224	R+
Sellimonas	79	78	98.7	0.1123	R+
Gordonibacter	79	78	98.7	0.1158	R+
Escherichia	79	78	98.7	0.0443	R+
Haemophilus	79	78	98.7	-0.1418	NR+
Limosilactobacillus	79	78	98.7	0.2147	R+
Butyricimonas	79	77	97.5	0.0589	R+
Longicatena	79	77	97.5	-0.0713	NR+
Megasphaera	79	77	97.5	0.0894	R+
Staphylococcus	79	77	97.5	0.1638	R+
Hoylesella	76	76	100.0	0.3644	R+
Fusobacterium	79	76	96.2	-0.128	NR+
Oxalobacter	79	75	94.9	0.0568	R+
Methanobrevibacter	79	75	94.9	-0.068	NR+
Paenibacillus	79	75	94.9	-0.0871	NR+
Solibaculum	79	75	94.9	-0.121	NR+
Pseudomonas	79	74	93.7	0.1135	R+
Blohavirus	73	72	98.6	-0.2123	NR+
Romboutsia	79	71	89.9	0.0352	R+
Prevotella	79	71	89.9	-0.0248	NR+
Marvinbryantia	79	70	88.6	-0.0321	NR+
Ligilactobacillus	79	68	86.1	0.0193	R+
Maliibacterium	78	67	85.9	0.0357	R+
Coprobacter	79	65	82.3	-0.0085	NR+
Lactobacillus	79	60	75.9	0.0201	R+
Acidaminococcus	74	54	73.0	-0.0058	NR+
Adlercreutzia	79	50	63.3	-0.0189	NR+
Megamonas	79	49	62.0	0.0151	R+
Odoribacter	79	46	58.2	0.0112	R+
Barnesiella	79	46	58.2	0.0167	R+
Citrobacter	60	29	48.3	0.0013	R+
Corynebacterium	17	17	100.0	0.0331	R+
Cohcovirus	1	1	100.0	0.2856	R+
