genus	folds_selected	folds_nonzero	pct_nonzero	avg_coef_nonzero	direction
Wujia	79	79	100.0	0.5657	R+
Klebsiella	79	79	100.0	-0.1999	NR+
Christensenella	79	79	100.0	0.321	R+
Catenibacterium	79	79	100.0	-0.1663	NR+
Turicibacter	79	79	100.0	-0.3978	NR+
Campylobacter	79	79	100.0	0.2365	R+
Schaalia	79	79	100.0	-0.2511	NR+
Porphyromonas	79	79	100.0	-0.4079	NR+
Sellimonas	79	79	100.0	0.2582	R+
Paraprevotella	79	79	100.0	-0.4173	NR+
Sutterella	79	79	100.0	-0.1519	NR+
Actinomyces	79	79	100.0	-0.3496	NR+
Akkermansia	79	79	100.0	0.0766	R+
Butyricimonas	79	79	100.0	0.1004	R+
Phascolarctobacterium	79	79	100.0	0.2284	R+
Monoglobus	79	79	100.0	-0.105	NR+
Veillonella	79	79	100.0	-0.1346	NR+
Wansuia	79	79	100.0	-0.1442	NR+
Escherichia	79	79	100.0	0.0949	R+
Dialister	79	79	100.0	0.1043	R+
Fusobacterium	79	79	100.0	-0.1267	NR+
Streptomyces	79	79	100.0	-0.2758	NR+
Staphylococcus	79	79	100.0	0.2293	R+
Qiania	79	79	100.0	-0.3073	NR+
Enterobacter	79	79	100.0	0.172	R+
Eggerthella	79	78	98.7	0.1354	R+
Desulfovibrio	79	78	98.7	0.1093	R+
Carjivirus	79	78	98.7	-0.1145	NR+
Oxalobacter	79	78	98.7	0.2055	R+
Rothia	79	78	98.7	0.1321	R+
Coprobacter	79	78	98.7	-0.0707	NR+
Solibaculum	79	78	98.7	-0.1133	NR+
Collinsella	79	77	97.5	-0.1076	NR+
Lacrimispora	79	77	97.5	0.1365	R+
Limosilactobacillus	79	77	97.5	0.1179	R+
Hoylesella	76	76	100.0	0.3416	R+
Marvinbryantia	79	75	94.9	-0.0362	NR+
Longicatena	79	75	94.9	0.0663	R+
Blohavirus	77	74	96.1	-0.1742	NR+
Ligilactobacillus	79	74	93.7	0.0699	R+
Gordonibacter	79	74	93.7	0.0616	R+
Haemophilus	79	74	93.7	-0.0623	NR+
Barnesiella	79	73	92.4	-0.0385	NR+
Pseudomonas	79	72	91.1	0.0581	R+
Faecalibacillus	79	71	89.9	-0.0393	NR+
Prevotella	70	69	98.6	-0.0977	NR+
Paenibacillus	79	69	87.3	-0.0854	NR+
Cohcovirus	68	68	100.0	0.3323	R+
Megamonas	78	68	87.2	0.0113	R+
Intestinimonas	67	67	100.0	-0.1712	NR+
Romboutsia	79	67	84.8	0.0753	R+
Megasphaera	79	65	82.3	0.0515	R+
Emergencia	79	63	79.7	-0.0131	NR+
Odoribacter	79	63	79.7	0.049	R+
Citrobacter	77	62	80.5	-0.0103	NR+
Adlercreutzia	79	59	74.7	-0.0444	NR+
Methanobrevibacter	79	54	68.4	0.0184	R+
Lactococcus	51	51	100.0	0.3831	R+
Corynebacterium	74	48	64.9	0.0124	R+
Massilistercora	79	46	58.2	-0.0347	NR+
Lactobacillus	79	45	57.0	0.0138	R+
Acidaminococcus	36	23	63.9	0.0241	R+
Kingevirus	19	19	100.0	-0.5138	NR+
Maliibacterium	2	1	50.0	0.0656	R+
