run_accession	actual	predicted_prob_R
SRR5930493	NR	0.897685
SRR5930494	R	0.747751
SRR5930495	R	0.680456
SRR5930497	R	0.477809
SRR5930498	R	0.162229
SRR5930499	R	0.623298
SRR5930501	NR	0.998894
SRR5930502	R	0.673898
SRR5930503	R	0.053397
SRR5930504	R	0.999744
SRR5930505	R	0.218363
SRR5930506	R	0.997869
SRR5930507	NR	0.906796
SRR5930508	NR	0.62837
SRR5930509	NR	0.999664
SRR5930510	NR	0.999892
SRR5930511	R	0.192152
SRR5930512	R	0.712555
SRR5930513	R	0.946989
SRR5930514	R	0.411725
SRR5930515	NR	0.295877
SRR5930516	R	0.982993
SRR5930517	NR	0.99792
SRR5930518	NR	0.083245
SRR5930519	NR	0.047819
SRR5930520	NR	0.251772
SRR5930521	NR	0.035405
SRR5930522	NR	0.385729
SRR5930523	R	0.998067
SRR5930526	NR	0.21957
SRR5930527	R	0.727387
SRR5930528	NR	0.999943
SRR5930529	R	0.61307
SRR5930530	R	0.788828
SRR5930531	R	0.883342
SRR5930532	R	0.002037
SRR5930533	R	0.000902
SRR5930534	R	0.927244
SRR5930536	R	0.052378
