run_accession	actual	predicted_prob_R	predicted_class	correct
SRR5930493	NR	0.492	NR	YES
SRR5930494	R	0.706	R	YES
SRR5930495	R	0.604	R	YES
SRR5930497	R	0.8	R	YES
SRR5930498	R	0.354	NR	NO
SRR5930499	R	0.272	NR	NO
SRR5930501	NR	0.564	R	NO
SRR5930502	R	0.426	NR	NO
SRR5930503	R	0.43	NR	NO
SRR5930504	R	0.864	R	YES
SRR5930505	R	0.698	R	YES
SRR5930506	R	0.424	NR	NO
SRR5930507	NR	0.846	R	NO
SRR5930508	NR	0.432	NR	YES
SRR5930509	NR	0.546	R	NO
SRR5930510	NR	0.792	R	NO
SRR5930511	R	0.732	R	YES
SRR5930512	R	0.32	NR	NO
SRR5930513	R	0.574	R	YES
SRR5930514	R	0.324	NR	NO
SRR5930515	NR	0.83	R	NO
SRR5930516	R	0.778	R	YES
SRR5930517	NR	0.662	R	NO
SRR5930518	NR	0.462	NR	YES
SRR5930519	NR	0.82	R	NO
SRR5930520	NR	0.484	NR	YES
SRR5930521	NR	0.892	R	NO
SRR5930522	NR	0.606	R	NO
SRR5930523	R	0.814	R	YES
SRR5930526	NR	0.474	NR	YES
SRR5930527	R	0.6	R	YES
SRR5930528	NR	0.57	R	NO
SRR5930529	R	0.824	R	YES
SRR5930530	R	0.632	R	YES
SRR5930531	R	0.466	NR	NO
SRR5930532	R	0.414	NR	NO
SRR5930533	R	0.664	R	YES
SRR5930534	R	0.624	R	YES
SRR5930536	R	0.576	R	YES
