genus	k_cohorts	cohorts	pooled_effect	se_re	ci_lo_95	ci_hi_95	z_stat	z_pval	Q_stat	Q_pval	I2_pct	tau2	direction	bh_fdr_q	fdr_sig
Eggerthella	2	cohort2,cohort3	0.12688	0.04504	0.03861	0.21516	2.8172	0.004844	0.2013	0.6537	0.0	0.0	R+	0.232512	False
Actinomyces	2	cohort1,cohort3	-0.09962	0.04488	-0.18758	-0.01167	-2.22	0.026417	0.0002	0.9892	0.0	0.0	NR+	0.500192	False
Catenibacterium	2	cohort1,cohort2	-0.14564	0.06762	-0.27818	-0.0131	-2.1537	0.031262	1.6763	0.1954	40.3	0.003801	NR+	0.500192	False
Carjivirus	2	cohort1,cohort2	-0.10311	0.05159	-0.20423	-0.00199	-1.9987	0.045645	1.3212	0.2504	24.3	0.001328	NR+	0.54774	False
Sellimonas	3	cohort1,cohort2,cohort3	0.05538	0.03535	-0.01389	0.12466	1.5669	0.117139	1.7786	0.411	0.0	0.0	R+	0.664608	False
Porphyromonas	2	cohort1,cohort2	-0.1638	0.09101	-0.34218	0.01457	-1.7999	0.071877	2.8533	0.0912	65.0	0.010972	NR+	0.664608	False
Lacrimispora	2	cohort2,cohort3	0.08244	0.05329	-0.02201	0.18689	1.547	0.121871	1.5469	0.2136	35.4	0.002204	R+	0.664608	False
Wujia	3	cohort1,cohort2,cohort3	0.11621	0.07567	-0.03211	0.26453	1.5357	0.124614	7.895	0.0193	74.7	0.012782	R+	0.664608	False
Butyricimonas	3	cohort1,cohort2,cohort3	0.04505	0.02931	-0.01241	0.10251	1.5368	0.124352	1.271	0.5297	0.0	0.0	R+	0.664608	False
Paraprevotella	3	cohort1,cohort2,cohort3	-0.10382	0.07244	-0.24581	0.03817	-1.4332	0.15181	7.6679	0.0216	73.9	0.011419	NR+	0.728688	False
Citrobacter	2	cohort2,cohort3	-0.06383	0.04625	-0.15447	0.02682	-1.3801	0.167546	0.7491	0.3867	0.0	0.0	NR+	0.73111	False
Prevotella	2	cohort1,cohort3	0.09925	0.07807	-0.05376	0.25225	1.2713	0.203612	2.9093	0.0881	65.6	0.008018	R+	0.779369	False
Enterobacter	2	cohort1,cohort3	0.10686	0.08544	-0.06061	0.27433	1.2506	0.211079	3.4553	0.063	71.1	0.010382	R+	0.779369	False
Paenibacillus	2	cohort2,cohort3	0.03568	0.02985	-0.02282	0.09418	1.1954	0.23193	0.0278	0.8675	0.0	0.0	R+	0.795189	False
Schaalia	2	cohort1,cohort3	-0.0906	0.08397	-0.25517	0.07398	-1.079	0.280593	3.2663	0.0707	69.4	0.009928	NR+	0.833633	False
Romboutsia	2	cohort2,cohort3	-0.03958	0.03781	-0.11369	0.03454	-1.0467	0.295245	0.2397	0.6244	0.0	0.0	NR+	0.833633	False
Barnesiella	2	cohort2,cohort3	-0.12825	0.11404	-0.35176	0.09527	-1.1246	0.260766	4.152	0.0416	75.9	0.020012	NR+	0.833633	False
Veillonella	3	cohort1,cohort2,cohort3	-0.05062	0.05192	-0.15239	0.05116	-0.9748	0.329661	4.1204	0.1274	51.5	0.004155	NR+	0.855507	False
Streptomyces	2	cohort1,cohort2	-0.03965	0.04144	-0.12086	0.04157	-0.9569	0.338638	1.8076	0.1788	44.7	0.001599	NR+	0.855507	False
Lactobacillus	2	cohort1,cohort2	0.09281	0.10139	-0.10592	0.29153	0.9153	0.360024	5.5484	0.0185	82.0	0.016862	R+	0.864058	False
Lactococcus	2	cohort1,cohort3	0.07927	0.09801	-0.11283	0.27136	0.8088	0.418642	3.0831	0.0791	67.6	0.012986	R+	0.927351	False
Escherichia	3	cohort1,cohort2,cohort3	0.03431	0.04301	-0.04999	0.11861	0.7977	0.425036	2.675	0.2625	25.2	0.001439	R+	0.927351	False
Lachnospira	2	cohort1,cohort3	-0.06352	0.10926	-0.27766	0.15062	-0.5814	0.560979	5.4013	0.0201	81.5	0.019648	NR+	0.932261	False
Christensenella	2	cohort1,cohort3	0.07889	0.13648	-0.18862	0.3464	0.578	0.563241	9.5585	0.002	89.5	0.03337	R+	0.932261	False
Lacticaseibacillus	2	cohort1,cohort3	-0.05521	0.09053	-0.23264	0.12222	-0.6099	0.54193	3.9432	0.0471	74.6	0.012239	NR+	0.932261	False
Campylobacter	3	cohort1,cohort2,cohort3	-0.04694	0.07837	-0.20055	0.10667	-0.5989	0.54923	11.6225	0.003	82.8	0.014775	NR+	0.932261	False
Limosilactobacillus	2	cohort1,cohort2	0.03308	0.0531	-0.07099	0.13715	0.623	0.533306	1.3458	0.246	25.7	0.001486	R+	0.932261	False
Marvinbryantia	2	cohort2,cohort3	0.09005	0.14984	-0.20364	0.38374	0.6009	0.547876	8.8276	0.003	88.7	0.039836	R+	0.932261	False
Solibaculum	3	cohort1,cohort2,cohort3	0.03995	0.05582	-0.06946	0.14937	0.7157	0.474183	5.3044	0.0705	62.3	0.005808	R+	0.932261	False
Sutterella	2	cohort2,cohort3	-0.0436	0.12546	-0.2895	0.20231	-0.3475	0.728226	5.2076	0.0225	80.8	0.025446	NR+	0.952659	False
Collinsella	3	cohort1,cohort2,cohort3	-0.01467	0.03215	-0.07768	0.04833	-0.4564	0.648073	0.4046	0.8169	0.0	0.0	NR+	0.952659	False
