genus	coef_cohort1	se_cohort1	in_sel_cohort1	coef_cohort2	se_cohort2	in_sel_cohort2	coef_cohort3	se_cohort3	in_sel_cohort3
Abidjanvirus	0.0		0	0.0		0	0.0		0
Abiotrophia	0.0		0	0.0		0	0.0		0
Abyssalbus	0.0		0	0.0		0	0.0		0
Abyssibius	0.0		0	0.0		0	0.0		0
Abyssicoccus	0.0		0	0.0		0	0.0		0
Acadevirus	0.0		0	0.0		0	0.0		0
Acadianvirus	0.0		0	0.0		0	0.0		0
Acajnonavirus	0.0		0	0.0		0	0.0		0
Acaryochloris	0.0		0	0.0		0	0.0		0
Acetilactobacillus	0.0		0	0.0		0	0.0		0
Acetivibrio	0.0		0	0.0		0	0.0		0
Acetoanaerobium	0.0		0	0.0		0	0.0		0
Acetobacter	0.0		0	0.0		0	0.0		0
Acetobacterium	0.0		0	0.0		0	0.0		0
Acetohalobium	0.0		0	0.0		0	0.0		0
Acetomicrobium	0.0		0	0.0		0	0.0		0
Acholeplasma	0.0		0	0.0		0	0.0		0
Achromobacter	0.0		0	0.0		0	0.0		0
Acidaminococcus	0.0	0.049406	1	0.0		0	0.14218	0.102013	1
Acidianus	0.0		0	0.0		0	0.0		0
Acidibrevibacterium	0.0		0	0.0		0	0.0		0
Acididesulfobacillus	0.0		0	0.0		0	0.0		0
Acidiferrobacter	0.0		0	0.0		0	0.0		0
Acidihalobacter	0.0		0	0.0		0	0.0		0
Acidilobus	0.0		0	0.0		0	0.0		0
Acidilutibacter	0.0		0	0.0		0	0.0		0
Acidimicrobium	0.0		0	0.0		0	0.0		0
Acidiphilium	0.0		0	0.0		0	0.0		0
Acidipropionibacterium	0.0		0	0.0		0	0.0		0
Acidisarcina	0.0		0	0.0		0	0.0		0
Acidithiobacillus	0.0		0	0.0		0	0.0		0
Acidobacterium	0.0		0	0.0		0	0.0		0
Acidocella	0.0		0	0.0		0	0.0		0
Acidothermus	0.0		0	0.0		0	0.0		0
Acidovorax	0.0		0	0.0		0	0.0		0
Aciduliprofundum	0.0		0	0.0		0	0.0		0
Acinetobacter	0.0		0	0.0		0	0.0		0
Actibacterium	0.0		0	0.0		0	0.0		0
Actinacidiphila	0.0		0	0.0		0	0.0		0
Actinoalloteichus	0.0		0	0.0		0	0.0		0
Actinobacillus	0.0		0	0.0		0	0.0		0
Actinobaculum	0.0		0	0.0		0	0.0		0
Actinocatenispora	0.0		0	0.0		0	0.0		0
Actinokineospora	0.0		0	0.0		0	0.0		0
Actinomadura	0.0		0	0.0		0	0.0		0
Actinomarinicola	0.0		0	0.0		0	0.0		0
Actinomyces	-0.100554	0.081955	1	0.0		0	-0.099225	0.053629	1
Actinoplanes	0.0		0	0.0		0	0.0		0
Actinopolymorpha	0.0		0	0.0		0	0.0		0
Actinopolyspora	0.0		0	0.0		0	0.0		0
Actinosynnema	0.0		0	0.0		0	0.0		0
Actinotalea	0.0		0	0.0		0	0.0		0
Actinotignum	0.0		0	0.0		0	0.0		0
Acutalibacter	-0.113931	0.082354	1	0.0		0	0.0		0
Acuticoccus	0.0		0	0.0		0	0.0		0
Adhaeretor	0.0		0	0.0		0	0.0		0
Adhaeribacter	0.0		0	0.0		0	0.0		0
Adlercreutzia	0.0	0.050152	1	0.0	0.050555	1	-0.365643	0.079942	1
Advenella	0.0		0	0.0		0	0.0		0
Aegicerativicinus	0.0		0	0.0		0	0.0		0
Aeoliella	0.0		0	0.0		0	0.0		0
Aequoribacter	0.0		0	0.0		0	0.0		0
Aequorivita	0.0		0	0.0		0	0.0		0
Aeribacillus	0.0		0	0.0		0	0.0		0
Aerococcus	0.0		0	0.0		0	0.0		0
Aeromicrobium	0.0		0	0.0		0	0.0		0
Aeromonas	0.0		0	0.0		0	0.0		0
Aeropyrum	0.0		0	0.0		0	0.0		0
Aerosticca	0.0		0	0.0		0	0.0		0
Aestuariispira	0.0		0	0.0		0	0.0		0
Afipia	0.0		0	0.0		0	0.0		0
Afonbuvirus	0.0		0	0.0		0	-0.100665	0.066927	1
Agarilytica	0.0		0	0.0		0	0.0		0
Agarivorans	0.0		0	0.0		0	0.0		0
Agatevirus	0.0		0	0.0		0	0.0		0
Aggregatibacter	0.0		0	0.063664	0.048431	1	0.0		0
Aggregatimonas	0.0		0	0.0		0	0.0		0
Agreia	0.0		0	0.0		0	0.0		0
Agricanvirus	0.0		0	0.0		0	0.0		0
Agrobacterium	0.0		0	0.0		0	0.0		0
Agrococcus	0.0		0	0.0		0	0.0		0
Agromyces	0.0		0	0.0		0	0.0		0
Agtrevirus	0.0		0	0.0		0	0.0		0
Ahniella	0.0		0	0.0		0	0.0		0
Ahphunavirus	0.0		0	0.0		0	0.0		0
Ahtivirus	0.0		0	0.0		0	0.0		0
Akkermansia	-0.129706	0.062518	1	0.212544	0.084898	1	0.001576	0.072445	1
Akonivirus	0.0		0	0.0		0	0.0		0
Alasvirus	0.0		0	0.0		0	0.0		0
Alcaligenes	0.0		0	0.0		0	0.0		0
Alcanivorax	0.0		0	0.0		0	0.0		0
Alcyoneusvirus	0.0		0	0.0		0	0.0		0
Alegriavirus	0.0		0	0.0		0	0.0		0
Alexandravirus	0.0		0	0.0		0	0.0		0
Algibacter	0.0		0	0.0		0	0.0		0
Algoriphagus	0.0		0	0.0		0	0.0		0
Aliamphritea	0.0		0	0.0		0	0.0		0
Aliarcobacter	0.0		0	0.0		0	0.0		0
Alicycliphilus	0.0		0	0.0		0	0.0		0
Alicyclobacillus	0.0		0	0.0		0	0.0		0
Alienimonas	0.0		0	0.0		0	0.0		0
Aliiroseovarius	0.0		0	0.0		0	0.0		0
Aliivibrio	0.0		0	0.0		0	0.0		0
Alisovirus	0.0		0	0.0		0	0.0		0
Alistipes	0.0		0	0.0		0	0.0		0
Alkalibacter	0.0		0	0.0		0	0.0		0
Alkalicella	0.0		0	0.0		0	0.0		0
Alkaliflexus	0.0		0	0.0		0	0.0		0
Alkalihalobacillus	0.0		0	0.0		0	0.0		0
Alkalihalophilus	0.0		0	0.0		0	0.0		0
Alkalilimnicola	0.0		0	0.0		0	0.0		0
Alkalimarinus	0.0		0	0.0		0	0.0		0
Alkaliphilus	0.0		0	0.0		0	0.0		0
Alkalitalea	0.0		0	0.0		0	0.0		0
Allexivirus	0.0		0	0.0		0	0.0		0
Alloacidobacterium	0.0		0	0.0		0	0.0		0
Alloactinosynnema	0.0		0	0.0		0	0.0		0
Alloalcanivorax	0.0		0	0.0		0	0.0		0
Allobacillus	0.0		0	0.0		0	0.0		0
Allobaculum	0.0		0	0.0		0	0.0		0
Allobranchiibius	0.0		0	0.0		0	0.0		0
Allochromatium	0.0		0	0.0		0	0.0		0
Allocoleopsis	0.0		0	0.0		0	0.0		0
Allofrancisella	0.0		0	0.0		0	0.0		0
Allokutzneria	0.0		0	0.0		0	0.0		0
Allomeiothermus	0.0		0	0.0		0	0.0		0
Allorhizobium	0.0		0	0.0		0	0.0		0
Allosaccharopolyspora	0.0		0	0.0		0	0.0		0
Allosphingosinicella	0.0		0	0.0		0	0.0		0
Alphabaculovirus	0.0		0	0.0		0	0.0		0
Alphacoronavirus	0.0		0	0.0		0	0.0		0
Alphaendornavirus	0.0		0	0.0		0	0.0		0
Alphaentomopoxvirus	0.0		0	0.0		0	0.0		0
Alphafusarivirus	0.0		0	0.0		0	0.0		0
Alphalipothrixvirus	0.0		0	0.0		0	0.0		0
Alphanemrhavirus	0.0		0	0.0		0	0.0		0
Alphanudivirus	0.0		0	0.0		0	0.0		0
Alphapapillomavirus	0.0		0	0.0		0	0.0		0
Alphapolyomavirus	0.0		0	0.0		0	0.0		0
Alpharetrovirus	0.0		0	0.0		0	0.0		0
Alpharicinrhavirus	0.0		0	0.0		0	0.0		0
Alphasphaerolipovirus	0.0		0	0.0		0	0.0		0
Alphaspiravirus	0.0		0	0.0		0	0.0		0
Alphatorquevirus	0.0		0	0.0		0	0.0		0
Alphatrevirus	0.0		0	0.0		0	0.0		0
Alphaturrivirus	0.0		0	0.0		0	0.0		0
Alteracholeplasma	0.0		0	0.0		0	0.0		0
Altererythrobacter	0.0		0	0.0		0	0.0		0
Alternavirus	0.0		0	0.0		0	0.0		0
Alteromonas	0.0		0	0.0		0	0.0		0
Alysiella	0.0		0	0.0		0	0.0		0
Amedibacterium	-0.058241	0.065387	1	0.0		0	0.10347	0.075639	1
Amginevirus	0.0		0	0.0		0	0.0		0
Aminayvirus	0.0		0	0.0		0	0.0		0
Aminipila	0.0		0	0.0		0	0.0		0
Aminithiophilus	0.0		0	0.0		0	0.0		0
Aminobacter	0.0		0	0.0		0	0.0		0
Aminobacterium	0.0		0	0.0		0	0.0		0
Aminomonas	0.0		0	0.0		0	0.0		0
Ammonifex	0.0		0	0.0		0	0.0		0
Amniculibacterium	0.0		0	0.0		0	0.0		0
Amphibacillus	0.0		0	0.0		0	0.0		0
Amphritea	0.0		0	0.0		0	0.0		0
Ampivirus	0.0		0	0.0		0	0.0		0
Amycolatopsis	0.0		0	0.0		0	0.0		0
Amylibacter	0.0		0	0.0		0	0.0		0
