run_accession	actual	predicted_prob_R	predicted_class	correct	n_features
SRR11413606	R	0.0547	NR	NO	59
SRR11413607	NR	0.997	R	NO	59
SRR11413608	R	0.761	R	YES	59
SRR11413609	R	0.9639	R	YES	59
SRR11413610	NR	0.9998	R	NO	59
SRR11413611	NR	0.9934	R	NO	59
SRR11413612	R	0.2066	NR	NO	59
SRR11413613	R	0.6553	R	YES	59
SRR11413614	R	0.0461	NR	NO	59
SRR11413615	NR	0.3722	NR	YES	59
SRR11413617	R	0.1692	NR	NO	59
SRR11413618	NR	0.0891	NR	YES	59
SRR11413619	R	0.1324	NR	NO	59
SRR11413620	R	0.915	R	YES	59
SRR11413645	R	0.3049	NR	NO	59
SRR11413646	NR	0.6917	R	NO	59
SRR11413647	NR	0.1998	NR	YES	59
SRR11413648	R	0.3151	NR	NO	59
SRR11413649	R	0.1107	NR	NO	59
SRR11413650	R	0.4056	NR	NO	59
SRR11413652	R	0.9862	R	YES	59
SRR11413653	NR	0.7269	R	NO	59
SRR11413654	R	0.0092	NR	NO	59
SRR11413655	NR	0.8993	R	NO	59
SRR11413656	R	0.0258	NR	NO	59
SRR11413657	R	0.0213	NR	NO	59
SRR11413678	R	0.0892	NR	NO	59
SRR11413679	R	0.7369	R	YES	59
SRR11413680	NR	0.7889	R	NO	59
SRR11413681	R	0.2445	NR	NO	59
SRR11413683	R	0.0795	NR	NO	59
SRR11413684	R	0.9163	R	YES	59
SRR11413685	NR	0.7211	R	NO	59
SRR11413686	NR	0.9998	R	NO	59
SRR11413687	R	0.0654	NR	NO	59
SRR11413688	NR	0.5762	R	NO	59
SRR11413689	NR	0.0092	NR	YES	59
SRR11413690	R	0.5713	R	YES	59
SRR11413691	NR	0.8137	R	NO	59
SRR11413692	R	0.7406	R	YES	59
SRR5930493	NR	0.0031	NR	YES	59
SRR5930494	R	0.6664	R	YES	59
SRR5930495	R	0.9924	R	YES	59
SRR5930497	R	0.0356	NR	NO	59
SRR5930498	R	0.0616	NR	NO	59
SRR5930499	R	0.9974	R	YES	59
SRR5930501	NR	0.7517	R	NO	59
SRR5930502	R	0.1275	NR	NO	59
SRR5930503	R	0.3794	NR	NO	59
SRR5930504	R	0.9513	R	YES	59
SRR5930505	R	0.6686	R	YES	59
SRR5930506	R	0.9802	R	YES	59
SRR5930507	NR	0.4012	NR	YES	59
SRR5930508	NR	0.3795	NR	YES	59
SRR5930509	NR	0.0268	NR	YES	59
SRR5930510	NR	0.9981	R	NO	59
SRR5930511	R	0.0056	NR	NO	59
SRR5930512	R	0.3565	NR	NO	59
SRR5930513	R	0.9607	R	YES	59
SRR5930514	R	0.0301	NR	NO	59
SRR5930515	NR	0.2628	NR	YES	59
SRR5930516	R	0.2977	NR	NO	59
SRR5930517	NR	1.0	R	NO	59
SRR5930518	NR	0.9484	R	NO	59
SRR5930519	NR	0.7096	R	NO	59
SRR5930520	NR	0.8199	R	NO	59
SRR5930521	NR	0.0159	NR	YES	59
SRR5930522	NR	0.9101	R	NO	59
SRR5930523	R	0.6939	R	YES	59
SRR5930526	NR	0.3386	NR	YES	59
SRR5930527	R	0.2201	NR	NO	59
SRR5930528	NR	0.9911	R	NO	59
SRR5930529	R	0.8883	R	YES	59
SRR5930530	R	0.9513	R	YES	59
SRR5930531	R	0.222	NR	NO	59
SRR5930532	R	0.1135	NR	NO	59
SRR5930533	R	0.0032	NR	NO	59
SRR5930534	R	0.0945	NR	NO	59
SRR5930536	R	0.0639	NR	NO	59
SRR6000869	NR	0.783	R	NO	59
SRR6000870	R	0.1943	NR	NO	59
SRR6000871	R	0.2088	NR	NO	59
SRR6000873	NR	0.9895	R	NO	59
SRR6000874	NR	0.9998	R	NO	59
SRR6000877	NR	0.9954	R	NO	59
SRR6000878	NR	0.178	NR	YES	59
SRR6000890	NR	0.8413	R	NO	59
SRR6000891	NR	0.2645	NR	YES	59
SRR6000892	NR	0.9087	R	NO	59
SRR6000893	R	0.3361	NR	NO	59
SRR6000894	NR	0.9337	R	NO	59
SRR6000895	NR	0.1511	NR	YES	59
SRR6000896	NR	0.9877	R	NO	59
SRR6000899	NR	0.0128	NR	YES	59
SRR6000900	R	0.3424	NR	NO	59
SRR6000901	R	0.097	NR	NO	59
SRR6000902	NR	0.9988	R	NO	59
SRR6000903	R	0.2295	NR	NO	59
SRR6000905	NR	0.1558	NR	YES	59
SRR6000906	R	0.0799	NR	NO	59
SRR6000907	NR	0.9483	R	NO	59
SRR6000908	R	0.9118	R	YES	59
SRR6000909	NR	0.0846	NR	YES	59
SRR6000910	NR	0.957	R	NO	59
SRR6000911	R	0.9405	R	YES	59
SRR6000912	R	0.0397	NR	NO	59
SRR6000920	R	0.0673	NR	NO	59
SRR6000921	NR	0.5173	R	NO	59
SRR6000931	R	0.265	NR	NO	59
SRR6000932	R	0.9377	R	YES	59
SRR6000940	NR	0.5809	R	NO	59
SRR6000942	NR	0.3801	NR	YES	59
SRR6000943	R	0.5262	R	YES	59
SRR6000944	NR	0.3286	NR	YES	59
SRR6000945	NR	0.0628	NR	YES	59
SRR6000946	R	0.586	R	YES	59
SRR6000947	NR	0.0253	NR	YES	59
SRR6000949	NR	0.9152	R	NO	59
