run_accession	actual	predicted_prob_R	predicted_class	correct	n_features
SRR11413606	R	0.0757	NR	NO	59
SRR11413607	NR	0.9993	R	NO	59
SRR11413608	R	0.7899	R	YES	59
SRR11413609	R	0.9653	R	YES	59
SRR11413610	NR	0.9997	R	NO	59
SRR11413611	NR	0.9918	R	NO	59
SRR11413612	R	0.4001	NR	NO	59
SRR11413613	R	0.8114	R	YES	59
SRR11413614	R	0.0388	NR	NO	59
SRR11413615	NR	0.3063	NR	YES	59
SRR11413617	R	0.1427	NR	NO	59
SRR11413618	NR	0.1068	NR	YES	59
SRR11413619	R	0.2175	NR	NO	59
SRR11413620	R	0.9301	R	YES	59
SRR11413645	R	0.4276	NR	NO	59
SRR11413646	NR	0.467	NR	YES	59
SRR11413647	NR	0.1152	NR	YES	59
SRR11413648	R	0.2018	NR	NO	59
SRR11413649	R	0.1242	NR	NO	59
SRR11413650	R	0.5515	R	YES	59
SRR11413652	R	0.9535	R	YES	59
SRR11413653	NR	0.7506	R	NO	59
SRR11413654	R	0.0181	NR	NO	59
SRR11413655	NR	0.7562	R	NO	59
SRR11413656	R	0.0195	NR	NO	59
SRR11413657	R	0.0308	NR	NO	59
SRR11413678	R	0.2208	NR	NO	59
SRR11413679	R	0.6889	R	YES	59
SRR11413680	NR	0.5777	R	NO	59
SRR11413681	R	0.4058	NR	NO	59
SRR11413683	R	0.1616	NR	NO	59
SRR11413684	R	0.9138	R	YES	59
SRR11413685	NR	0.6532	R	NO	59
SRR11413686	NR	0.9998	R	NO	59
SRR11413687	R	0.0515	NR	NO	59
SRR11413688	NR	0.4696	NR	YES	59
SRR11413689	NR	0.0117	NR	YES	59
SRR11413690	R	0.3959	NR	NO	59
SRR11413691	NR	0.6446	R	NO	59
SRR11413692	R	0.667	R	YES	59
SRR5930493	NR	0.003	NR	YES	59
SRR5930494	R	0.3584	NR	NO	59
SRR5930495	R	0.9848	R	YES	59
SRR5930497	R	0.0653	NR	NO	59
SRR5930498	R	0.0747	NR	NO	59
SRR5930499	R	0.9981	R	YES	59
SRR5930501	NR	0.6792	R	NO	59
SRR5930502	R	0.0236	NR	NO	59
SRR5930503	R	0.244	NR	NO	59
SRR5930504	R	0.9096	R	YES	59
SRR5930505	R	0.7812	R	YES	59
SRR5930506	R	0.9937	R	YES	59
SRR5930507	NR	0.3432	NR	YES	59
SRR5930508	NR	0.538	R	NO	59
SRR5930509	NR	0.0261	NR	YES	59
SRR5930510	NR	0.999	R	NO	59
SRR5930511	R	0.0014	NR	NO	59
SRR5930512	R	0.4554	NR	NO	59
SRR5930513	R	0.9221	R	YES	59
SRR5930514	R	0.0414	NR	NO	59
SRR5930515	NR	0.2385	NR	YES	59
SRR5930516	R	0.3877	NR	NO	59
SRR5930517	NR	1.0	R	NO	59
SRR5930518	NR	0.9638	R	NO	59
SRR5930519	NR	0.6681	R	NO	59
SRR5930520	NR	0.8693	R	NO	59
SRR5930521	NR	0.0163	NR	YES	59
SRR5930522	NR	0.861	R	NO	59
SRR5930523	R	0.5581	R	YES	59
SRR5930526	NR	0.3039	NR	YES	59
SRR5930527	R	0.2591	NR	NO	59
SRR5930528	NR	0.9851	R	NO	59
SRR5930529	R	0.9047	R	YES	59
SRR5930530	R	0.9742	R	YES	59
SRR5930531	R	0.2541	NR	NO	59
SRR5930532	R	0.073	NR	NO	59
SRR5930533	R	0.0102	NR	NO	59
SRR5930534	R	0.0687	NR	NO	59
SRR5930536	R	0.0938	NR	NO	59
SRR6000869	NR	0.6139	R	NO	59
SRR6000870	R	0.3571	NR	NO	59
SRR6000871	R	0.1079	NR	NO	59
SRR6000873	NR	0.9877	R	NO	59
SRR6000874	NR	0.9994	R	NO	59
SRR6000877	NR	0.9879	R	NO	59
SRR6000878	NR	0.1086	NR	YES	59
SRR6000890	NR	0.8	R	NO	59
SRR6000891	NR	0.2753	NR	YES	59
SRR6000892	NR	0.8606	R	NO	59
SRR6000893	R	0.5218	R	YES	59
SRR6000894	NR	0.8854	R	NO	59
SRR6000895	NR	0.2613	NR	YES	59
SRR6000896	NR	0.9642	R	NO	59
SRR6000899	NR	0.0276	NR	YES	59
SRR6000900	R	0.4479	NR	NO	59
SRR6000901	R	0.1369	NR	NO	59
SRR6000902	NR	0.9974	R	NO	59
SRR6000903	R	0.3392	NR	NO	59
SRR6000905	NR	0.209	NR	YES	59
SRR6000906	R	0.0817	NR	NO	59
SRR6000907	NR	0.9279	R	NO	59
SRR6000908	R	0.913	R	YES	59
SRR6000909	NR	0.0923	NR	YES	59
SRR6000910	NR	0.9581	R	NO	59
SRR6000911	R	0.943	R	YES	59
SRR6000912	R	0.0385	NR	NO	59
SRR6000920	R	0.0953	NR	NO	59
SRR6000921	NR	0.4866	NR	YES	59
SRR6000931	R	0.2896	NR	NO	59
SRR6000932	R	0.938	R	YES	59
SRR6000940	NR	0.5828	R	NO	59
SRR6000942	NR	0.3848	NR	YES	59
SRR6000943	R	0.6132	R	YES	59
SRR6000944	NR	0.1524	NR	YES	59
SRR6000945	NR	0.0294	NR	YES	59
SRR6000946	R	0.8201	R	YES	59
SRR6000947	NR	0.0245	NR	YES	59
SRR6000949	NR	0.921	R	NO	59
