run_accession	actual	predicted_prob_R	predicted_class	correct	n_features
SRR11413606	R	0.642	R	YES	59
SRR11413607	NR	0.798	R	NO	59
SRR11413608	R	0.666	R	YES	59
SRR11413609	R	0.574	R	YES	59
SRR11413610	NR	0.804	R	NO	59
SRR11413611	NR	0.716	R	NO	59
SRR11413612	R	0.53	R	YES	59
SRR11413613	R	0.652	R	YES	59
SRR11413614	R	0.478	NR	NO	59
SRR11413615	NR	0.658	R	NO	59
SRR11413617	R	0.43	NR	NO	59
SRR11413618	NR	0.594	R	NO	59
SRR11413619	R	0.482	NR	NO	59
SRR11413620	R	0.538	R	YES	59
SRR11413645	R	0.63	R	YES	59
SRR11413646	NR	0.692	R	NO	59
SRR11413647	NR	0.684	R	NO	59
SRR11413648	R	0.666	R	YES	59
SRR11413649	R	0.642	R	YES	59
SRR11413650	R	0.406	NR	NO	59
SRR11413652	R	0.534	R	YES	59
SRR11413653	NR	0.618	R	NO	59
SRR11413654	R	0.712	R	YES	59
SRR11413655	NR	0.602	R	NO	59
SRR11413656	R	0.684	R	YES	59
SRR11413657	R	0.514	R	YES	59
SRR11413678	R	0.654	R	YES	59
SRR11413679	R	0.486	NR	NO	59
SRR11413680	NR	0.538	R	NO	59
SRR11413681	R	0.664	R	YES	59
SRR11413683	R	0.65	R	YES	59
SRR11413684	R	0.636	R	YES	59
SRR11413685	NR	0.606	R	NO	59
SRR11413686	NR	0.754	R	NO	59
SRR11413687	R	0.654	R	YES	59
SRR11413688	NR	0.622	R	NO	59
SRR11413689	NR	0.626	R	NO	59
SRR11413690	R	0.634	R	YES	59
SRR11413691	NR	0.502	R	NO	59
SRR11413692	R	0.514	R	YES	59
SRR5930493	NR	0.532	R	NO	59
SRR5930494	R	0.656	R	YES	59
SRR5930495	R	0.714	R	YES	59
SRR5930497	R	0.664	R	YES	59
SRR5930498	R	0.522	R	YES	59
SRR5930499	R	0.5	R	YES	59
SRR5930501	NR	0.626	R	NO	59
SRR5930502	R	0.562	R	YES	59
SRR5930503	R	0.48	NR	NO	59
SRR5930504	R	0.73	R	YES	59
SRR5930505	R	0.602	R	YES	59
SRR5930506	R	0.616	R	YES	59
SRR5930507	NR	0.8	R	NO	59
SRR5930508	NR	0.48	NR	YES	59
SRR5930509	NR	0.592	R	NO	59
SRR5930510	NR	0.722	R	NO	59
SRR5930511	R	0.632	R	YES	59
SRR5930512	R	0.402	NR	NO	59
SRR5930513	R	0.622	R	YES	59
SRR5930514	R	0.462	NR	NO	59
SRR5930515	NR	0.814	R	NO	59
SRR5930516	R	0.568	R	YES	59
SRR5930517	NR	0.652	R	NO	59
SRR5930518	NR	0.498	NR	YES	59
SRR5930519	NR	0.794	R	NO	59
SRR5930520	NR	0.526	R	NO	59
SRR5930521	NR	0.7	R	NO	59
SRR5930522	NR	0.582	R	NO	59
SRR5930523	R	0.688	R	YES	59
SRR5930526	NR	0.514	R	NO	59
SRR5930527	R	0.678	R	YES	59
SRR5930528	NR	0.752	R	NO	59
SRR5930529	R	0.754	R	YES	59
SRR5930530	R	0.56	R	YES	59
SRR5930531	R	0.684	R	YES	59
SRR5930532	R	0.504	R	YES	59
SRR5930533	R	0.506	R	YES	59
SRR5930534	R	0.448	NR	NO	59
SRR5930536	R	0.71	R	YES	59
SRR6000869	NR	0.37	NR	YES	59
SRR6000870	R	0.684	R	YES	59
SRR6000871	R	0.314	NR	NO	59
SRR6000873	NR	0.458	NR	YES	59
SRR6000874	NR	0.428	NR	YES	59
SRR6000877	NR	0.448	NR	YES	59
SRR6000878	NR	0.426	NR	YES	59
SRR6000890	NR	0.254	NR	YES	59
SRR6000891	NR	0.386	NR	YES	59
SRR6000892	NR	0.362	NR	YES	59
SRR6000893	R	0.396	NR	NO	59
SRR6000894	NR	0.572	R	NO	59
SRR6000895	NR	0.288	NR	YES	59
SRR6000896	NR	0.62	R	NO	59
SRR6000899	NR	0.268	NR	YES	59
SRR6000900	R	0.47	NR	NO	59
SRR6000901	R	0.54	R	YES	59
SRR6000902	NR	0.27	NR	YES	59
SRR6000903	R	0.608	R	YES	59
SRR6000905	NR	0.332	NR	YES	59
SRR6000906	R	0.472	NR	NO	59
SRR6000907	NR	0.49	NR	YES	59
SRR6000908	R	0.358	NR	NO	59
SRR6000909	NR	0.448	NR	YES	59
SRR6000910	NR	0.292	NR	YES	59
SRR6000911	R	0.346	NR	NO	59
SRR6000912	R	0.236	NR	NO	59
SRR6000920	R	0.224	NR	NO	59
SRR6000921	NR	0.284	NR	YES	59
SRR6000931	R	0.58	R	YES	59
SRR6000932	R	0.352	NR	NO	59
SRR6000940	NR	0.556	R	NO	59
SRR6000942	NR	0.28	NR	YES	59
SRR6000943	R	0.546	R	YES	59
SRR6000944	NR	0.404	NR	YES	59
SRR6000945	NR	0.592	R	NO	59
SRR6000946	R	0.508	R	YES	59
SRR6000947	NR	0.38	NR	YES	59
SRR6000949	NR	0.324	NR	YES	59
