run_accession	actual	n_features	EN_prob_R	EN_pred	EN_correct	EN_inner_auc	EN_best_C	EN_best_l1	RF_prob_R	RF_pred	RF_correct	RF_inner_auc	RF_best_n_est	RF_best_depth	XGB_prob_R	XGB_pred	XGB_correct	XGB_inner_auc	XGB_best_n_est	XGB_best_depth	XGB_best_lr
ERR10290768	NR	65	0.3372	NR	YES	0.5207	100.0	0.7	0.4476	NR	YES	0.5388	500	5	0.2422	NR	YES	0.5194	200	2	0.05
ERR6229432	NR	65	0.1076	NR	YES	0.4924	10.0	0.7	0.3354	NR	YES	0.5304	500	5	0.2937	NR	YES	0.5545	200	2	0.05
ERR6230245	R	65	0.5895	R	YES	0.5377	100.0	0.3	0.4245	NR	NO	0.5374	500	10	0.2883	NR	NO	0.5453	200	2	0.1
ERR6230278	R	65	0.4536	NR	NO	0.5137	1.0	0.7	0.4422	NR	NO	0.5204	500	10	0.2673	NR	NO	0.5393	200	3	0.05
ERR6230326	NR	64	0.9044	R	NO	0.5128	10.0	0.7	0.4177	NR	YES	0.5204	200	5	0.3921	NR	YES	0.5119	200	2	0.05
ERR6230340	NR	65	0.1365	NR	YES	0.5018	1.0	0.3	0.3922	NR	YES	0.5151	200	5	0.1711	NR	YES	0.5082	200	3	0.05
ERR6231475	NR	64	0.9733	R	NO	0.5053	10.0	0.3	0.5688	R	NO	0.5227	200	5	0.8784	R	NO	0.5292	100	2	0.1
ERR6231548	NR	65	0.6838	R	NO	0.5277	100.0	0.3	0.4063	NR	YES	0.5145	200	5	0.3678	NR	YES	0.5305	100	3	0.1
ERR6231616	R	64	0.8058	R	YES	0.5359	1.0	0.5	0.4848	NR	NO	0.5535	200	5	0.2199	NR	NO	0.5396	200	2	0.1
ERR6232382	NR	64	0.2118	NR	YES	0.5537	1.0	0.5	0.4145	NR	YES	0.5646	200	5	0.716	R	NO	0.5324	200	3	0.1
ERR6232425	NR	65	0.1461	NR	YES	0.4898	100.0	0.5	0.4319	NR	YES	0.5515	200	10	0.5032	R	NO	0.5494	100	3	0.05
ERR6232458	NR	65	0.3189	NR	YES	0.4828	1.0	0.5	0.3629	NR	YES	0.5363	500	10	0.3177	NR	YES	0.5354	100	2	0.05
ERR6232518	NR	65	0.5397	R	NO	0.5068	1.0	0.5	0.4046	NR	YES	0.5143	500	5	0.1003	NR	YES	0.5036	200	3	0.05
ERR6232521	R	65	0.2081	NR	NO	0.528	1.0	0.7	0.485	NR	NO	0.5651	200	None	0.3476	NR	NO	0.5845	100	3	0.1
ERR6232522	NR	65	0.8765	R	NO	0.52	1.0	0.5	0.5594	R	NO	0.5483	500	5	0.8357	R	NO	0.5779	200	2	0.05
ERR6232523	NR	64	0.6438	R	NO	0.5095	1.0	0.7	0.5113	R	NO	0.5567	500	10	0.4541	NR	YES	0.5576	100	3	0.1
ERR6232524	R	65	0.337	NR	NO	0.5159	100.0	0.3	0.3655	NR	NO	0.5593	500	5	0.4276	NR	NO	0.5101	100	3	0.05
ERR6232525	NR	65	0.0697	NR	YES	0.5059	1.0	0.7	0.2924	NR	YES	0.5121	500	5	0.0373	NR	YES	0.4967	200	3	0.05
ERR6232526	NR	64	0.2865	NR	YES	0.4734	10.0	0.5	0.3746	NR	YES	0.4909	500	5	0.1996	NR	YES	0.4805	100	3	0.05
ERR6232527	NR	65	0.4705	NR	YES	0.5588	1.0	0.5	0.4344	NR	YES	0.5458	500	10	0.6195	R	NO	0.5389	200	2	0.1
ERR6232528	R	65	0.3356	NR	NO	0.5131	1.0	0.7	0.3393	NR	NO	0.5223	200	5	0.3467	NR	NO	0.5047	100	2	0.1
ERR6232529	R	65	0.4152	NR	NO	0.5036	10.0	0.7	0.46	NR	NO	0.5425	200	None	0.4748	NR	NO	0.5266	100	2	0.05
ERR6232686	NR	64	0.1415	NR	YES	0.4993	100.0	0.3	0.5787	R	NO	0.5229	500	10	0.6747	R	NO	0.5559	200	2	0.05
ERR6232687	R	64	0.759	R	YES	0.5346	1.0	0.3	0.4017	NR	NO	0.5414	200	5	0.5352	R	YES	0.505	200	2	0.05
ERR6232688	R	65	0.5221	R	YES	0.5557	10.0	0.5	0.3983	NR	NO	0.5473	200	5	0.2672	NR	NO	0.5427	100	2	0.05
ERR6233692	NR	65	0.7642	R	NO	0.5413	100.0	0.3	0.422	NR	YES	0.5591	500	10	0.3608	NR	YES	0.5548	100	2	0.05
ERR6233693	NR	64	0.6216	R	NO	0.5064	10.0	0.3	0.4466	NR	YES	0.5357	200	5	0.4896	NR	YES	0.5087	100	2	0.05
ERR6233694	NR	64	0.8585	R	NO	0.4864	1.0	0.5	0.425	NR	YES	0.5405	200	None	0.7197	R	NO	0.5073	200	3	0.05
ERR6233695	NR	65	0.3417	NR	YES	0.5052	1.0	0.3	0.3525	NR	YES	0.536	200	5	0.1084	NR	YES	0.5558	200	3	0.05
ERR6235716	NR	64	0.1024	NR	YES	0.5235	10.0	0.5	0.2562	NR	YES	0.5321	500	10	0.1889	NR	YES	0.5342	200	2	0.1
ERR6235717	NR	65	0.3401	NR	YES	0.4876	1.0	0.3	0.6393	R	NO	0.5514	200	10	0.8232	R	NO	0.544	200	3	0.1
ERR6235718	NR	65	0.6755	R	NO	0.5179	100.0	0.3	0.3436	NR	YES	0.5552	200	10	0.3364	NR	YES	0.5255	100	2	0.05
ERR6236131	R	65	0.6251	R	YES	0.5024	10.0	0.5	0.4971	NR	NO	0.5259	500	5	0.5254	R	YES	0.5351	100	2	0.05
ERR6239138	R	64	0.4112	NR	NO	0.5421	10.0	0.5	0.4482	NR	NO	0.5493	500	5	0.5877	R	YES	0.5444	200	3	0.05
ERR6239139	R	65	0.3843	NR	NO	0.5118	1.0	0.7	0.3661	NR	NO	0.5471	200	5	0.2803	NR	NO	0.5082	100	3	0.05
ERR6243877	NR	65	0.3562	NR	YES	0.5704	1.0	0.7	0.4758	NR	YES	0.5383	200	5	0.4055	NR	YES	0.5644	100	2	0.05
ERR6243878	R	65	0.3191	NR	NO	0.5242	1.0	0.3	0.3252	NR	NO	0.5567	200	5	0.2056	NR	NO	0.5102	100	2	0.05
ERR6243879	R	64	0.2783	NR	NO	0.5634	10.0	0.7	0.2996	NR	NO	0.5515	200	10	0.0413	NR	NO	0.5633	100	3	0.1
ERR6243880	R	65	0.8857	R	YES	0.487	100.0	0.3	0.4781	NR	NO	0.506	200	5	0.533	R	YES	0.4687	100	3	0.1
ERR6248618	NR	65	0.2304	NR	YES	0.5099	10.0	0.5	0.2566	NR	YES	0.5328	200	10	0.2894	NR	YES	0.527	100	2	0.1
ERR6254869	NR	65	0.5625	R	NO	0.5062	1.0	0.7	0.3935	NR	YES	0.5318	200	5	0.8025	R	NO	0.497	200	3	0.1
ERR6254870	NR	65	0.075	NR	YES	0.5393	1.0	0.7	0.4221	NR	YES	0.5331	500	5	0.4245	NR	YES	0.5405	100	2	0.05
ERR6254871	NR	64	0.7011	R	NO	0.5054	1.0	0.5	0.526	R	NO	0.5352	500	None	0.6386	R	NO	0.53	100	2	0.05
ERR6257997	NR	65	0.7895	R	NO	0.5374	1.0	0.7	0.544	R	NO	0.5276	200	5	0.6129	R	NO	0.5129	200	3	0.1
ERR6264280	R	65	0.4879	NR	NO	0.5	1.0	0.7	0.3101	NR	NO	0.5704	200	5	0.1796	NR	NO	0.5456	100	2	0.1
ERR6264281	NR	65	0.8326	R	NO	0.5224	10.0	0.7	0.4883	NR	YES	0.5436	200	5	0.5129	R	NO	0.5365	100	2	0.05
ERR6267711	NR	65	0.2054	NR	YES	0.5062	1.0	0.3	0.36	NR	YES	0.5402	200	None	0.259	NR	YES	0.5245	100	3	0.05
ERR6267712	R	65	0.3477	NR	NO	0.5234	1.0	0.3	0.282	NR	NO	0.5471	500	None	0.3396	NR	NO	0.5122	100	2	0.05
ERR6271719	NR	65	0.7187	R	NO	0.482	1.0	0.7	0.4288	NR	YES	0.5611	500	5	0.5475	R	NO	0.544	100	2	0.1
ERR6271720	NR	65	0.4222	NR	YES	0.5319	1.0	0.5	0.4185	NR	YES	0.561	200	5	0.4113	NR	YES	0.5409	100	2	0.05
ERR6271721	NR	65	0.1921	NR	YES	0.509	1.0	0.3	0.4087	NR	YES	0.5825	500	5	0.1469	NR	YES	0.561	100	3	0.05
ERR6273965	NR	65	0.1378	NR	YES	0.5105	1.0	0.7	0.3418	NR	YES	0.5441	200	5	0.2959	NR	YES	0.5205	100	3	0.1
ERR6275652	NR	65	0.8781	R	NO	0.5129	1.0	0.3	0.478	NR	YES	0.5275	500	None	0.2318	NR	YES	0.5341	100	3	0.1
ERR6275659	NR	65	0.0467	NR	YES	0.5202	100.0	0.5	0.352	NR	YES	0.5073	500	None	0.291	NR	YES	0.5129	200	2	0.05
ERR6275661	NR	64	0.8395	R	NO	0.5246	1.0	0.5	0.474	NR	YES	0.5285	500	None	0.647	R	NO	0.5421	200	3	0.05
ERR6275663	R	65	0.1618	NR	NO	0.5187	100.0	0.3	0.4455	NR	NO	0.527	500	5	0.2234	NR	NO	0.5267	200	2	0.1
ERR6275664	NR	65	0.7515	R	NO	0.5332	1.0	0.7	0.5066	R	NO	0.5537	200	5	0.8977	R	NO	0.508	200	3	0.1
ERR6275665	R	65	0.7262	R	YES	0.5339	100.0	0.3	0.4046	NR	NO	0.5195	200	10	0.4946	NR	NO	0.503	100	3	0.05
ERR6275666	NR	65	0.1129	NR	YES	0.5052	1.0	0.3	0.38	NR	YES	0.5327	200	None	0.1508	NR	YES	0.5095	200	2	0.1
ERR6275667	R	65	0.7695	R	YES	0.5029	10.0	0.7	0.335	NR	NO	0.5323	200	None	0.3895	NR	NO	0.5343	200	2	0.1
ERR6275668	NR	65	0.1048	NR	YES	0.5003	1.0	0.3	0.3502	NR	YES	0.5464	500	10	0.2978	NR	YES	0.5443	200	2	0.1
ERR6275669	R	65	0.2539	NR	NO	0.5176	1.0	0.7	0.2435	NR	NO	0.5464	500	10	0.3072	NR	NO	0.5467	200	3	0.05
ERR6275670	NR	65	0.0321	NR	YES	0.5083	10.0	0.7	0.3217	NR	YES	0.5324	200	5	0.2165	NR	YES	0.5327	100	3	0.05
ERR6275671	NR	65	0.4627	NR	YES	0.5195	1.0	0.3	0.3079	NR	YES	0.5413	200	10	0.2596	NR	YES	0.5411	100	2	0.05
ERR6275672	NR	65	0.298	NR	YES	0.5258	1.0	0.3	0.5002	R	NO	0.5809	500	5	0.1724	NR	YES	0.5572	200	3	0.1
ERR6275673	NR	65	0.6744	R	NO	0.5003	10.0	0.5	0.495	NR	YES	0.5621	200	None	0.4519	NR	YES	0.5447	100	2	0.05
ERR6275674	R	65	0.6579	R	YES	0.5145	1.0	0.5	0.4159	NR	NO	0.5515	200	5	0.3209	NR	NO	0.5735	100	3	0.05
ERR6275675	R	65	0.4022	NR	NO	0.4966	1.0	0.7	0.3301	NR	NO	0.5463	200	5	0.3513	NR	NO	0.522	200	2	0.1
ERR6275676	R	65	0.5378	R	YES	0.5173	1.0	0.7	0.3739	NR	NO	0.5456	500	5	0.2348	NR	NO	0.5614	100	3	0.05
ERR6275677	NR	65	0.3569	NR	YES	0.5664	1.0	0.7	0.4092	NR	YES	0.5754	200	5	0.157	NR	YES	0.6044	200	2	0.05
ERR6275678	R	64	0.8101	R	YES	0.5578	100.0	0.3	0.3967	NR	NO	0.5729	200	5	0.4765	NR	NO	0.5704	200	3	0.05
ERR6275679	NR	64	0.9278	R	NO	0.5027	10.0	0.5	0.4066	NR	YES	0.5005	500	5	0.3025	NR	YES	0.5084	200	2	0.1
ERR6275680	NR	64	0.9645	R	NO	0.4664	1.0	0.5	0.5589	R	NO	0.5136	500	5	0.5495	R	NO	0.5202	100	3	0.05
ERR6275681	R	65	0.9084	R	YES	0.5264	100.0	0.3	0.4103	NR	NO	0.5556	200	5	0.4166	NR	NO	0.5883	100	2	0.05
ERR6275682	NR	64	0.3992	NR	YES	0.4848	1.0	0.7	0.505	R	NO	0.5075	500	5	0.3608	NR	YES	0.5255	200	2	0.1
ERR6275683	NR	64	0.6388	R	NO	0.5085	1.0	0.7	0.4778	NR	YES	0.5482	200	5	0.4308	NR	YES	0.5417	100	2	0.05
ERR6275684	NR	65	0.2474	NR	YES	0.5262	1.0	0.7	0.4205	NR	YES	0.5652	500	5	0.2516	NR	YES	0.5574	200	3	0.05
ERR6279614	NR	64	0.561	R	NO	0.5102	1.0	0.5	0.3907	NR	YES	0.5379	200	5	0.3359	NR	YES	0.5414	100	2	0.05
ERR6279615	R	65	0.9572	R	YES	0.5156	10.0	0.5	0.4567	NR	NO	0.5312	200	5	0.6143	R	YES	0.4976	200	3	0.1
