fold	run_accession	EN_C	EN_l1_ratio	RF_n_estimators	RF_max_depth	XGB_n_estimators	XGB_max_depth	XGB_learning_rate
1	SRR11413606	100.0	0.7	500	5	200	3	0.05
2	SRR11413607	10.0	0.7	200	None	100	3	0.05
3	SRR11413608	1.0	0.7	200	5	100	2	0.05
4	SRR11413609	10.0	0.5	500	5	100	3	0.05
5	SRR11413610	10.0	0.5	200	None	100	3	0.05
6	SRR11413611	10.0	0.3	500	None	100	3	0.05
7	SRR11413612	1.0	0.7	500	5	200	2	0.1
8	SRR11413613	1.0	0.5	200	None	100	2	0.05
9	SRR11413614	10.0	0.3	500	None	100	2	0.1
10	SRR11413615	1.0	0.5	500	5	100	3	0.05
11	SRR11413617	10.0	0.3	200	5	200	3	0.05
12	SRR11413618	1.0	0.5	200	5	100	2	0.05
13	SRR11413619	100.0	0.3	500	5	100	3	0.05
14	SRR11413620	10.0	0.7	200	None	100	2	0.05
15	SRR11413645	100.0	0.3	500	5	200	2	0.05
16	SRR11413646	10.0	0.3	200	5	100	2	0.1
17	SRR11413647	1.0	0.3	200	10	100	3	0.1
18	SRR11413648	10.0	0.5	500	5	100	2	0.05
19	SRR11413649	1.0	0.7	500	None	100	3	0.1
20	SRR11413650	1.0	0.7	500	10	100	3	0.05
21	SRR11413652	100.0	0.3	200	10	100	3	0.05
22	SRR11413653	100.0	0.3	500	10	100	3	0.05
23	SRR11413654	10.0	0.5	200	5	100	2	0.05
24	SRR11413655	100.0	0.3	200	5	100	3	0.05
25	SRR11413656	100.0	0.3	500	None	100	3	0.05
26	SRR11413657	100.0	0.3	500	None	200	2	0.1
27	SRR11413678	10.0	0.3	200	10	100	3	0.05
28	SRR11413679	1.0	0.7	200	5	200	2	0.05
29	SRR11413680	10.0	0.3	200	None	200	2	0.05
30	SRR11413681	10.0	0.7	200	5	100	2	0.05
31	SRR11413683	1.0	0.7	200	5	100	2	0.05
32	SRR11413684	1.0	0.7	200	5	100	2	0.1
33	SRR11413685	1.0	0.3	200	None	100	3	0.1
34	SRR11413686	10.0	0.3	500	None	100	3	0.05
35	SRR11413687	100.0	0.3	200	None	100	2	0.05
36	SRR11413688	1.0	0.3	200	5	100	2	0.05
37	SRR11413689	1.0	0.7	200	5	100	3	0.1
38	SRR11413690	1.0	0.5	200	10	100	3	0.05
39	SRR11413691	100.0	0.3	200	None	200	2	0.05
40	SRR11413692	100.0	0.3	200	5	200	2	0.05
41	SRR5930493	10.0	0.5	200	None	200	3	0.1
42	SRR5930494	100.0	0.3	200	5	200	2	0.05
43	SRR5930495	10.0	0.7	500	5	200	2	0.1
44	SRR5930497	1.0	0.5	200	5	100	2	0.1
45	SRR5930498	1.0	0.5	200	None	100	2	0.1
46	SRR5930499	1.0	0.3	500	10	100	2	0.05
47	SRR5930501	100.0	0.3	500	10	200	2	0.05
48	SRR5930502	10.0	0.7	500	None	100	2	0.1
49	SRR5930503	10.0	0.7	200	None	100	2	0.1
50	SRR5930504	1.0	0.7	500	5	100	2	0.05
51	SRR5930505	10.0	0.3	500	10	200	2	0.1
52	SRR5930506	1.0	0.7	200	None	100	2	0.1
53	SRR5930507	1.0	0.7	200	10	100	3	0.05
54	SRR5930508	10.0	0.5	200	5	100	2	0.1
55	SRR5930509	1.0	0.7	500	5	100	3	0.05
56	SRR5930510	1.0	0.5	500	5	100	2	0.05
57	SRR5930511	100.0	0.3	200	5	200	2	0.1
58	SRR5930512	10.0	0.7	200	10	100	2	0.05
59	SRR5930513	1.0	0.7	500	10	200	2	0.05
60	SRR5930514	10.0	0.7	500	10	100	2	0.1
61	SRR5930515	1.0	0.3	500	5	100	2	0.05
62	SRR5930516	10.0	0.3	200	5	200	2	0.05
63	SRR5930517	1.0	0.5	500	5	200	2	0.05
64	SRR5930518	100.0	0.3	500	10	100	2	0.05
65	SRR5930519	10.0	0.5	200	None	100	2	0.1
66	SRR5930520	1.0	0.3	500	None	200	2	0.1
67	SRR5930521	1.0	0.7	500	5	100	3	0.05
68	SRR5930522	1.0	0.7	200	5	200	2	0.05
69	SRR5930523	100.0	0.3	500	5	100	2	0.1
70	SRR5930526	100.0	0.5	500	None	100	2	0.05
71	SRR5930527	100.0	0.3	200	5	100	3	0.05
72	SRR5930528	100.0	0.3	200	5	100	2	0.05
73	SRR5930529	100.0	0.3	200	None	100	2	0.1
74	SRR5930530	100.0	0.3	200	None	100	2	0.05
75	SRR5930531	1.0	0.7	500	None	100	2	0.05
76	SRR5930532	10.0	0.3	500	5	100	3	0.05
77	SRR5930533	10.0	0.5	200	10	100	3	0.05
78	SRR5930534	1.0	0.5	200	10	200	2	0.05
79	SRR5930536	100.0	0.3	200	10	100	2	0.05
80	SRR6000869	10.0	0.7	200	5	200	2	0.05
81	SRR6000870	1.0	0.5	500	10	200	2	0.1
82	SRR6000871	100.0	0.3	500	10	200	2	0.05
83	SRR6000873	1.0	0.7	500	5	100	2	0.05
84	SRR6000874	10.0	0.5	500	None	100	2	0.05
85	SRR6000877	1.0	0.3	500	None	100	2	0.05
86	SRR6000878	1.0	0.3	500	10	100	2	0.05
87	SRR6000890	10.0	0.7	500	5	100	2	0.05
88	SRR6000891	10.0	0.5	200	5	100	3	0.05
89	SRR6000892	100.0	0.3	500	10	100	2	0.1
90	SRR6000893	10.0	0.5	500	None	100	2	0.1
91	SRR6000894	1.0	0.5	200	None	100	2	0.1
92	SRR6000895	100.0	0.3	200	None	100	3	0.05
93	SRR6000896	100.0	0.3	500	None	200	2	0.05
