run_accession	actual	n_features	EN_prob_R	EN_pred	EN_correct	EN_inner_auc	EN_best_C	EN_best_l1	RF_prob_R	RF_pred	RF_correct	RF_inner_auc	RF_best_n_est	RF_best_depth	XGB_prob_R	XGB_pred	XGB_correct	XGB_inner_auc	XGB_best_n_est	XGB_best_depth	XGB_best_lr
SRR11413606	R	59	0.0322	NR	NO	0.371	100.0	0.7	0.6079	R	YES	0.5069	500	5	0.8945	R	YES	0.5268	200	3	0.05
SRR11413607	NR	59	0.9987	R	NO	0.447	10.0	0.7	0.815	R	NO	0.5219	200	None	0.9181	R	NO	0.522	100	3	0.05
SRR11413608	R	59	0.7472	R	YES	0.4426	1.0	0.7	0.6234	R	YES	0.5667	200	5	0.6084	R	YES	0.5126	100	2	0.05
SRR11413609	R	59	0.9699	R	YES	0.4528	10.0	0.5	0.5305	R	YES	0.4897	500	5	0.7415	R	YES	0.5413	100	3	0.05
SRR11413610	NR	59	1.0	R	NO	0.4595	10.0	0.5	0.785	R	NO	0.6034	200	None	0.959	R	NO	0.6235	100	3	0.05
SRR11413611	NR	59	0.9979	R	NO	0.4634	10.0	0.3	0.716	R	NO	0.5359	500	None	0.5666	R	NO	0.504	100	3	0.05
SRR11413612	R	59	0.2254	NR	NO	0.3324	1.0	0.7	0.5545	R	YES	0.4977	500	5	0.6052	R	YES	0.5277	200	2	0.1
SRR11413613	R	59	0.6553	R	YES	0.3921	1.0	0.5	0.64	R	YES	0.4308	200	None	0.7766	R	YES	0.5216	100	2	0.05
SRR11413614	R	59	0.0327	NR	NO	0.3812	10.0	0.3	0.478	NR	NO	0.6182	500	None	0.5684	R	YES	0.4675	100	2	0.1
SRR11413615	NR	59	0.3726	NR	YES	0.3763	1.0	0.5	0.6356	R	NO	0.476	500	5	0.774	R	NO	0.4484	100	3	0.05
SRR11413617	R	59	0.1686	NR	NO	0.3928	10.0	0.3	0.4421	NR	NO	0.5687	200	5	0.511	R	YES	0.5552	200	3	0.05
SRR11413618	NR	59	0.0893	NR	YES	0.374	1.0	0.5	0.5508	R	NO	0.5648	200	5	0.6895	R	NO	0.521	100	2	0.05
SRR11413619	R	59	0.1231	NR	NO	0.4383	100.0	0.3	0.4739	NR	NO	0.4499	500	5	0.4796	NR	NO	0.5179	100	3	0.05
SRR11413620	R	59	0.9287	R	YES	0.3665	10.0	0.7	0.54	R	YES	0.4849	200	None	0.436	NR	NO	0.5416	100	2	0.05
SRR11413645	R	59	0.2313	NR	NO	0.3755	100.0	0.3	0.6053	R	YES	0.4348	500	5	0.7837	R	YES	0.4744	200	2	0.05
SRR11413646	NR	59	0.7083	R	NO	0.3637	10.0	0.3	0.7058	R	NO	0.4653	200	5	0.8144	R	NO	0.5139	100	2	0.1
SRR11413647	NR	59	0.2151	NR	YES	0.3542	1.0	0.3	0.74	R	NO	0.4608	200	10	0.7416	R	NO	0.4933	100	3	0.1
SRR11413648	R	59	0.2906	NR	NO	0.414	10.0	0.5	0.6754	R	YES	0.471	500	5	0.754	R	YES	0.5227	100	2	0.05
SRR11413649	R	59	0.1174	NR	NO	0.33	1.0	0.7	0.642	R	YES	0.5039	500	None	0.5754	R	YES	0.5092	100	3	0.1
SRR11413650	R	59	0.4142	NR	NO	0.3545	1.0	0.7	0.4072	NR	NO	0.4915	500	10	0.3707	NR	NO	0.4756	100	3	0.05
SRR11413652	R	59	0.9945	R	YES	0.3304	100.0	0.3	0.565	R	YES	0.409	200	10	0.4195	NR	NO	0.4999	100	3	0.05
SRR11413653	NR	59	0.7612	R	NO	0.3756	100.0	0.3	0.6193	R	NO	0.5338	500	10	0.5779	R	NO	0.4562	100	3	0.05
SRR11413654	R	59	0.0038	NR	NO	0.3252	10.0	0.5	0.7011	R	YES	0.4551	200	5	0.7006	R	YES	0.4319	100	2	0.05
SRR11413655	NR	59	0.9205	R	NO	0.411	100.0	0.3	0.5735	R	NO	0.5123	200	5	0.3169	NR	YES	0.4822	100	3	0.05
SRR11413656	R	59	0.015	NR	NO	0.3914	100.0	0.3	0.684	R	YES	0.4213	500	None	0.5875	R	YES	0.4369	100	3	0.05
SRR11413657	R	59	0.0108	NR	NO	0.462	100.0	0.3	0.514	R	YES	0.4683	500	None	0.451	NR	NO	0.5421	200	2	0.1
SRR11413678	R	59	0.0371	NR	NO	0.3341	10.0	0.3	0.6623	R	YES	0.4781	200	10	0.7217	R	YES	0.4487	100	3	0.05
SRR11413679	R	59	0.7226	R	YES	0.4052	1.0	0.7	0.5219	R	YES	0.5844	200	5	0.4366	NR	NO	0.5487	200	2	0.05
SRR11413680	NR	59	0.8318	R	NO	0.3992	10.0	0.3	0.545	R	NO	0.4895	200	None	0.7146	R	NO	0.486	200	2	0.05
SRR11413681	R	59	0.1596	NR	NO	0.3585	10.0	0.7	0.6686	R	YES	0.4562	200	5	0.6749	R	YES	0.4852	100	2	0.05
SRR11413683	R	59	0.0906	NR	NO	0.3603	1.0	0.7	0.683	R	YES	0.5055	200	5	0.8574	R	YES	0.4677	100	2	0.05
SRR11413684	R	59	0.9035	R	YES	0.3338	1.0	0.7	0.5871	R	YES	0.4946	200	5	0.6865	R	YES	0.4665	100	2	0.1
SRR11413685	NR	59	0.7246	R	NO	0.4272	1.0	0.3	0.56	R	NO	0.4647	200	None	0.9197	R	NO	0.4604	100	3	0.1
SRR11413686	NR	59	0.9999	R	NO	0.3735	10.0	0.3	0.754	R	NO	0.4468	500	None	0.77	R	NO	0.4512	100	3	0.05
