perm_index	auc
1	0.5752
2	0.6068
3	0.6143
4	0.4854
5	0.4116
6	0.4867
7	0.6276
8	0.3265
9	0.5129
10	0.3524
11	0.6139
12	0.4588
13	0.399
14	0.3207
15	0.4524
16	0.4224
17	0.5085
18	0.5388
19	0.3793
20	0.4881
21	0.4639
22	0.5133
23	0.483
24	0.6626
25	0.5412
26	0.5
27	0.4959
28	0.5122
29	0.4541
30	0.4476
31	0.3435
32	0.6276
33	0.4656
34	0.5449
35	0.5772
36	0.4786
37	0.5095
38	0.4762
39	0.6643
40	0.4361
41	0.5221
42	0.6276
43	0.5228
44	0.5361
45	0.3939
46	0.5085
47	0.369
48	0.4833
49	0.5316
50	0.5548
51	0.4871
52	0.4398
53	0.615
54	0.4956
55	0.6078
56	0.4463
57	0.5361
58	0.485
59	0.3677
60	0.4714
61	0.5156
62	0.5891
63	0.4578
64	0.3636
65	0.4878
66	0.4697
67	0.4483
68	0.4595
69	0.4551
70	0.3184
71	0.483
72	0.4728
73	0.6541
74	0.5381
75	0.5966
76	0.5432
77	0.5255
78	0.5054
79	0.5884
80	0.5956
81	0.568
82	0.5293
83	0.5544
84	0.4153
85	0.3272
86	0.4949
87	0.5799
88	0.4588
89	0.5364
90	0.3653
91	0.4156
92	0.3827
93	0.568
94	0.4636
95	0.419
96	0.565
97	0.5238
98	0.5578
99	0.449
100	0.4551
