sig_f2	batch_f2	n_per_cohort	n_cohorts	n_total	method	n_reps	mean_auc	std_auc	r2_resp_diag	r2_batch_diag	ceiling_auc	delta_auc
0.007	0.0	20	1	20	none	10	0.525	0.18874586088176873	0.03892	0.0	0.525	0.0
0.007	0.0	20	1	20	mean_centering	10	0.48500000000000004	0.17182840277439584	0.05979	0.0	0.525	-0.03999999999999998
0.007	0.0	20	1	20	location_scale	10	0.5449999999999999	0.25243811122728677	0.03791	0.0	0.525	0.019999999999999907
0.007	0.0	20	1	20	quantile_mapping	10	0.4600000000000001	0.16401219466856726	0.05185	0.0	0.525	-0.06499999999999995
0.007	0.0	20	1	20	percentile_norm	10	0.46499999999999997	0.15819292019556375	0.04227	0.0	0.525	-0.06000000000000005
0.007	0.0	20	1	20	cohort_covariate	10	0.48	0.16613247725836153	0.04057	0.0	0.525	-0.04500000000000004
0.007	0.0	20	2	40	none	10	0.4849999999999999	0.10951598056904756	0.02476	0.03269	0.525	-0.04000000000000015
0.007	0.0	20	2	40	mean_centering	10	0.5387500000000001	0.14102858752749386	0.02314	0.02492	0.525	0.01375000000000004
0.007	0.0	20	2	40	location_scale	10	0.50375	0.10201868701370352	0.04982	0.01705	0.525	-0.02124999999999999
0.007	0.0	20	2	40	quantile_mapping	10	0.5	0.14694812009685596	0.02931	0.02922	0.525	-0.025000000000000022
0.007	0.0	20	2	40	percentile_norm	10	0.53625	0.10375	0.04529	0.02778	0.525	0.011249999999999982
0.007	0.0	20	2	40	cohort_covariate	10	0.45875000000000005	0.11443475215160823	0.02321	0.03692	0.525	-0.06624999999999998
0.007	0.0	20	3	60	none	10	0.4805555555555555	0.10292781840916056	0.01272	0.02925	0.525	-0.04444444444444451
0.007	0.0	20	3	60	mean_centering	10	0.44333333333333336	0.11818587578288658	0.02475	0.04147	0.525	-0.08166666666666667
0.007	0.0	20	3	60	location_scale	10	0.505	0.11817673519242584	0.01171	0.02905	0.525	-0.020000000000000018
0.007	0.0	20	3	60	quantile_mapping	10	0.4933333333333333	0.11668782876853974	0.01331	0.024	0.525	-0.03166666666666673
0.007	0.0	20	3	60	percentile_norm	10	0.5011111111111111	0.0636735501417529	0.01132	0.02974	0.525	-0.02388888888888896
0.007	0.0	20	3	60	cohort_covariate	10	0.53	0.0816194118764754	0.01674	0.04125	0.525	0.0050000000000000044
0.007	0.0	20	4	80	none	10	0.48125	0.12013989241713179	0.00885	0.03275	0.525	-0.04375000000000001
0.007	0.0	20	4	80	mean_centering	10	0.5409375	0.08378788788512335	0.01906	0.03157	0.525	0.015937499999999938
0.007	0.0	20	4	80	location_scale	10	0.48218749999999994	0.09004176548274695	0.00649	0.03786	0.525	-0.04281250000000009
0.007	0.0	20	4	80	quantile_mapping	10	0.5209374999999999	0.044503554984405454	0.00897	0.03794	0.525	-0.00406250000000008
0.007	0.0	20	4	80	percentile_norm	10	0.490625	0.07898279084712062	0.01046	0.03738	0.525	-0.034375000000000044
0.007	0.0	20	4	80	cohort_covariate	10	0.546875	0.08109359946999516	0.01314	0.03893	0.525	0.021874999999999978
0.007	0.0	40	1	40	none	10	0.55125	0.13398344114106042	0.03105	0.0	0.55125	0.0
0.007	0.0	40	1	40	mean_centering	10	0.46875	0.1300540752917801	0.0175	0.0	0.55125	-0.08250000000000002
0.007	0.0	40	1	40	location_scale	10	0.48875	0.1578616878789784	0.02711	0.0	0.55125	-0.0625
0.007	0.0	40	1	40	quantile_mapping	10	0.45500000000000007	0.0659545297913646	0.01674	0.0	0.55125	-0.09624999999999995
0.007	0.0	40	1	40	percentile_norm	10	0.485	0.1194780314534852	0.0241	0.0	0.55125	-0.06625000000000003
0.007	0.0	40	1	40	cohort_covariate	10	0.50875	0.12209755321053735	0.02316	0.0	0.55125	-0.04249999999999998
0.007	0.0	40	2	80	none	10	0.513125	0.09677212279370541	0.01938	0.01498	0.55125	-0.038124999999999964
0.007	0.0	40	2	80	mean_centering	10	0.46749999999999997	0.10035289295780166	0.01136	0.01227	0.55125	-0.08375000000000005
0.007	0.0	40	2	80	location_scale	10	0.51625	0.10322722206375605	0.01411	0.01216	0.55125	-0.03500000000000003
0.007	0.0	40	2	80	quantile_mapping	10	0.501875	0.05697792884091172	0.01053	0.01228	0.55125	-0.04937500000000006
0.007	0.0	40	2	80	percentile_norm	10	0.4659375	0.08882314327499337	0.0164	0.00928	0.55125	-0.08531250000000001
0.007	0.0	40	2	80	cohort_covariate	10	0.4725	0.10208567174192469	0.01147	0.01342	0.55125	-0.07875000000000004
0.007	0.0	40	3	120	none	10	0.522638888888889	0.07710785395778635	0.00938	0.01459	0.55125	-0.02861111111111103
0.007	0.0	40	3	120	mean_centering	10	0.5144444444444443	0.06742107869095432	0.00657	0.01788	0.55125	-0.03680555555555576
0.007	0.0	40	3	120	location_scale	10	0.5029166666666667	0.05866128052926679	0.00851	0.01582	0.55125	-0.04833333333333334
0.007	0.0	40	3	120	quantile_mapping	10	0.47333333333333333	0.08920905880480696	0.00628	0.01739	0.55125	-0.07791666666666669
0.007	0.0	40	3	120	percentile_norm	10	0.5181944444444445	0.060426882916565755	0.0095	0.01798	0.55125	-0.033055555555555505
0.007	0.0	40	3	120	cohort_covariate	10	0.4615277777777778	0.0958636224275834	0.00661	0.01603	0.55125	-0.0897222222222222
0.007	0.0	40	4	160	none	10	0.497578125	0.04862796474332569	0.00588	0.0159	0.55125	-0.053671875000000036
0.007	0.0	40	4	160	mean_centering	10	0.5232812499999999	0.059802939740137354	0.00532	0.02193	0.55125	-0.027968750000000098
0.007	0.0	40	4	160	location_scale	10	0.49609375	0.052547411627500734	0.00631	0.02559	0.55125	-0.05515625000000002
0.007	0.0	40	4	160	quantile_mapping	10	0.487421875	0.04843932708247634	0.00392	0.01489	0.55125	-0.06382812500000001
0.007	0.0	40	4	160	percentile_norm	10	0.5299218750000001	0.08687278689851974	0.00775	0.01915	0.55125	-0.02132812499999992
0.007	0.0	40	4	160	cohort_covariate	10	0.493046875	0.031052992288636627	0.00622	0.01867	0.55125	-0.05820312500000002
0.007	0.0	80	1	80	none	10	0.4546875000000001	0.09984607293854877	0.01372	0.0	0.4546875000000001	0.0
0.007	0.0	80	1	80	mean_centering	10	0.4875	0.06621756281380341	0.01478	0.0	0.4546875000000001	0.03281249999999991
0.007	0.0	80	1	80	location_scale	10	0.505625	0.05280787701659668	0.02037	0.0	0.4546875000000001	0.05093749999999991
0.007	0.0	80	1	80	quantile_mapping	10	0.49468749999999995	0.08641119447878266	0.0211	0.0	0.4546875000000001	0.03999999999999987
0.007	0.0	80	1	80	percentile_norm	10	0.50625	0.04088856808449032	0.01076	0.0	0.4546875000000001	0.0515624999999999
0.007	0.0	80	1	80	cohort_covariate	10	0.5171875000000001	0.12316028999336595	0.01128	0.0	0.4546875000000001	0.06250000000000006
0.007	0.0	80	2	160	none	10	0.5125	0.028914694712420877	0.00689	0.005	0.4546875000000001	0.05781249999999988
0.007	0.0	80	2	160	mean_centering	10	0.5015625	0.039823830805184986	0.00673	0.00559	0.4546875000000001	0.046874999999999944
0.007	0.0	80	2	160	location_scale	10	0.4884375	0.04225515408651351	0.00572	0.00886	0.4546875000000001	0.03374999999999995
0.007	0.0	80	2	160	quantile_mapping	10	0.48578125000000005	0.06866009746843503	0.00865	0.00588	0.4546875000000001	0.031093749999999976
0.007	0.0	80	2	160	percentile_norm	10	0.5246093749999999	0.04828004903441612	0.0067	0.00935	0.4546875000000001	0.06992187499999986
0.007	0.0	80	2	160	cohort_covariate	10	0.488671875	0.054166322364691	0.00701	0.0076	0.4546875000000001	0.0339843749999999
0.007	0.0	80	3	240	none	10	0.5153472222222222	0.060573272446488684	0.00584	0.0079	0.4546875000000001	0.0606597222222221
0.007	0.0	80	3	240	mean_centering	10	0.48486111111111113	0.054623960000835164	0.00548	0.00969	0.4546875000000001	0.030173611111111054
0.007	0.0	80	3	240	location_scale	10	0.49364583333333323	0.0452703880515334	0.00421	0.00821	0.4546875000000001	0.03895833333333315
0.007	0.0	80	3	240	quantile_mapping	10	0.5239583333333333	0.05478502107283175	0.00308	0.00674	0.4546875000000001	0.06927083333333323
0.007	0.0	80	3	240	percentile_norm	10	0.5016319444444445	0.044834456843453906	0.00257	0.00981	0.4546875000000001	0.0469444444444444
0.007	0.0	80	3	240	cohort_covariate	10	0.4706249999999999	0.028217526129414635	0.0045	0.00907	0.4546875000000001	0.015937499999999827
0.007	0.0	80	4	320	none	10	0.5046875	0.050132119146483196	0.00187	0.01135	0.4546875000000001	0.04999999999999988
0.007	0.0	80	4	320	mean_centering	10	0.49341796874999994	0.0436369432425297	0.00431	0.00964	0.4546875000000001	0.03873046874999986
0.007	0.0	80	4	320	location_scale	10	0.4851953125	0.047636538572076205	0.00401	0.00822	0.4546875000000001	0.030507812499999898
0.007	0.0	80	4	320	quantile_mapping	10	0.4814453125	0.042701762864755514	0.00285	0.00931	0.4546875000000001	0.026757812499999922
0.007	0.0	80	4	320	percentile_norm	10	0.47326171875	0.06183653281160849	0.00143	0.00914	0.4546875000000001	0.018574218749999927
0.007	0.0	80	4	320	cohort_covariate	10	0.51462890625	0.06701344927268595	0.00243	0.0081	0.4546875000000001	0.05994140624999994
0.007	0.04	20	1	20	none	10	0.45999999999999996	0.12409673645990857	0.06034	0.0	0.525	-0.06500000000000006
0.007	0.04	20	1	20	mean_centering	10	0.5650000000000001	0.13425721582097552	0.06384	0.0	0.525	0.040000000000000036
0.007	0.04	20	1	20	location_scale	10	0.37	0.15362291495737218	0.04524	0.0	0.525	-0.15500000000000003
0.007	0.04	20	1	20	quantile_mapping	10	0.39	0.157797338380595	0.04449	0.0	0.525	-0.135
0.007	0.04	20	1	20	percentile_norm	10	0.52	0.212367605815953	0.0459	0.0	0.525	-0.0050000000000000044
0.007	0.04	20	1	20	cohort_covariate	10	0.4	0.21330729007701543	0.04299	0.0	0.525	-0.125
0.007	0.04	20	2	40	none	10	0.51625	0.10651437696386343	0.02513	0.03562	0.525	-0.008750000000000036
0.007	0.04	20	2	40	mean_centering	10	0.46749999999999997	0.09188987974744554	0.02965	0.03488	0.525	-0.05750000000000005
0.007	0.04	20	2	40	location_scale	10	0.44125000000000003	0.1277265144752647	0.01784	0.03814	0.525	-0.08374999999999999
0.007	0.04	20	2	40	quantile_mapping	10	0.45375	0.09553304402142747	0.02289	0.04255	0.525	-0.07125000000000004
0.007	0.04	20	2	40	percentile_norm	10	0.4725	0.10136567466356648	0.01853	0.03887	0.525	-0.05250000000000005
0.007	0.04	20	2	40	cohort_covariate	10	0.5512499999999999	0.11530530126581347	0.02346	0.03144	0.525	0.026249999999999885
0.007	0.04	20	3	60	none	10	0.5361111111111112	0.059382106462310985	0.02	0.05465	0.525	0.011111111111111183
0.007	0.04	20	3	60	mean_centering	10	0.5733333333333335	0.09518662630412161	0.01771	0.05658	0.525	0.04833333333333345
0.007	0.04	20	3	60	location_scale	10	0.4805555555555555	0.10138698628351829	0.01407	0.05593	0.525	-0.04444444444444451
0.007	0.04	20	3	60	quantile_mapping	10	0.4822222222222222	0.09993207569687733	0.01317	0.04562	0.525	-0.0427777777777778
0.007	0.04	20	3	60	percentile_norm	10	0.43499999999999994	0.05200011870831652	0.01183	0.05837	0.525	-0.09000000000000008
0.007	0.04	20	3	60	cohort_covariate	10	0.553888888888889	0.10052485719253844	0.02074	0.05626	0.525	0.028888888888888964
0.007	0.04	20	4	80	none	10	0.4843750000000001	0.08691770533096235	0.01383	0.05899	0.525	-0.04062499999999991
0.007	0.04	20	4	80	mean_centering	10	0.48156250000000006	0.06411126192994489	0.01325	0.06902	0.525	-0.04343749999999996
0.007	0.04	20	4	80	location_scale	10	0.48718749999999994	0.07517492621379816	0.00801	0.0688	0.525	-0.03781250000000008
0.007	0.04	20	4	80	quantile_mapping	10	0.4640625	0.05536191295692373	0.01002	0.0599	0.525	-0.06093750000000003
0.007	0.04	20	4	80	percentile_norm	10	0.4678125000000001	0.09897965779012373	0.00979	0.07309	0.525	-0.05718749999999995
0.007	0.04	20	4	80	cohort_covariate	10	0.514375	0.06961389049607844	0.01093	0.06838	0.525	-0.010624999999999996
0.007	0.04	40	1	40	none	10	0.38125	0.0978279740156158	0.01545	0.0	0.55125	-0.17000000000000004
0.007	0.04	40	1	40	mean_centering	10	0.49000000000000005	0.1158932698649926	0.02519	0.0	0.55125	-0.06124999999999997
0.007	0.04	40	1	40	location_scale	10	0.4800000000000001	0.09154916711800275	0.01458	0.0	0.55125	-0.07124999999999992
0.007	0.04	40	1	40	quantile_mapping	10	0.5149999999999999	0.04670385423067351	0.01718	0.0	0.55125	-0.036250000000000115
0.007	0.04	40	1	40	percentile_norm	10	0.475	0.08749999999999998	0.01649	0.0	0.55125	-0.07625000000000004
0.007	0.04	40	1	40	cohort_covariate	10	0.48875	0.13163040112375257	0.02368	0.0	0.55125	-0.0625
0.007	0.04	40	2	80	none	10	0.5321874999999999	0.07643228723026677	0.01769	0.02686	0.55125	-0.019062500000000093
0.007	0.04	40	2	80	mean_centering	10	0.5046875	0.08850152276232315	0.00891	0.03477	0.55125	-0.04656250000000006
0.007	0.04	40	2	80	location_scale	10	0.5221875	0.07547311710967025	0.01218	0.02497	0.55125	-0.02906249999999999
0.007	0.04	40	2	80	quantile_mapping	10	0.4909375000000001	0.08721437757761047	0.01154	0.02532	0.55125	-0.060312499999999936
0.007	0.04	40	2	80	percentile_norm	10	0.5053124999999999	0.08382983601469109	0.00891	0.03123	0.55125	-0.045937500000000075
0.007	0.04	40	2	80	cohort_covariate	10	0.4887499999999999	0.07405920351313534	0.00902	0.02853	0.55125	-0.06250000000000011
0.007	0.04	40	3	120	none	10	0.5438888888888889	0.049753249164945335	0.00922	0.03983	0.55125	-0.007361111111111152
