nc	npc	n_total	method	mean_auc	std_auc	sem_auc
1	120	120	none	0.5000925925925926	0.06078716044668862	0.011098166327779055
1	120	120	mean_centering	0.49694444444444447	0.05991399013579189	0.010938747969171743
1	120	120	location_scale	0.5080555555555556	0.06310448419824002	0.01152124982503479
1	120	120	quantile_mapping	0.514351851851852	0.060413030258096675	0.011029859813200565
1	120	120	cohort_covariate	0.4920370370370371	0.06613885713025716	0.012075247992617747
2	60	120	none	0.5189351851851852	0.07428628456693702	0.013562757923519766
2	60	120	mean_centering	0.512361111111111	0.06911249365950695	0.012618157260914907
2	60	120	location_scale	0.48263888888888895	0.07519500540227761	0.013728666890183424
2	60	120	quantile_mapping	0.4849074074074074	0.08298517807730044	0.015150951323840213
2	60	120	cohort_covariate	0.49333333333333335	0.08015978769798485	0.014635107975670471
3	40	120	none	0.4772685185185185	0.07825127312409579	0.014286662481188338
3	40	120	mean_centering	0.4979166666666666	0.08146181633487025	0.01487282479398375
3	40	120	location_scale	0.4930092592592592	0.07893035175817609	0.01441064470992353
3	40	120	quantile_mapping	0.5176388888888889	0.06142506684936174	0.01121463156988607
3	40	120	cohort_covariate	0.48430555555555554	0.08104746837273592	0.01479717555214466
4	30	120	none	0.4912962962962963	0.07690560369236234	0.014040977980286482
4	30	120	mean_centering	0.5063888888888889	0.054371171403928685	0.009926772351970524
4	30	120	location_scale	0.5008796296296296	0.07087188795808591	0.0129393772425408
4	30	120	quantile_mapping	0.502175925925926	0.05834180200137955	0.010651707000551874
4	30	120	cohort_covariate	0.49361111111111106	0.06803911366011701	0.012422185781434659
