run_accession	Acidobacteriota	Actinomycetota	Aquificota	Armatimonadota	Artverviricota	Atribacterota	Bacillota	Bacteroidota	Balneolota	Bdellovibrionota	Caldisericota	Calditrichota	Campylobacterota	Candidatus_Absconditabacteria	Candidatus_Bipolaricaulota	Candidatus_Cloacimonadota	Candidatus_Korarchaeota	Candidatus_Lokiarchaeota	Candidatus_Micrarchaeota	Candidatus_Nanohaloarchaeota	Candidatus_Omnitrophota	Candidatus_Saccharibacteria	Candidatus_Thermoplasmatota	Chlamydiota	Chlorobiota	Chloroflexota	Chordata	Chrysiogenota	Coprothermobacterota	Cossaviricota	Cressdnaviricota	Cyanobacteriota	Deferribacterota	Deinococcota	Dictyoglomota	Dividoviricota	Duplornaviricota	Elusimicrobiota	Euryarchaeota	Fibrobacterota	Fusobacteriota	Gemmatimonadota	Heterolobosea	Hofneiviricota	Ignavibacteriota	Kiritimatiellota	Kitrinoviricota	Lenarviricota	Lentisphaerota	Mycoplasmatota	Myxococcota	Nanoarchaeota	Negarnaviricota	Nitrososphaerota	Nitrospinota	Nitrospirota	Nucleocytoviricota	Peploviricota	Phixviricota	Pisuviricota	Planctomycetota	Preplasmiviricota	Pseudomonadota	Rhodothermota	Saleviricota	Spirochaetota	Streptophyta	Synergistota	Taleaviricota	Thermodesulfobacteriota	Thermomicrobiota	Thermoproteota	Thermotogota	Uroviricota	Verrucomicrobiota
SRR5930493	-1.487514	12.526848	-1.487514	-1.487514	-1.487514	-1.487514	15.131357	14.300688	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	10.900884	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	10.718564	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	14.222614	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	-1.487514	7.722926	-1.487514	-1.487514	-1.487514	14.139559	-1.487514
SRR5930494	-1.741313	12.366868	-1.741313	-1.741313	-1.741313	-1.741313	14.800742	14.757272	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	7.469127	-1.741313	-1.741313	-1.741313	8.567673	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	10.870228	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	11.546566	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	-1.741313	8.855347	-1.741313	-1.741313	-1.741313	12.721301	11.230230
SRR5930495	-1.717699	13.159068	-1.717699	-1.717699	-1.717699	-1.717699	15.085512	15.252682	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	7.492741	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	11.911483	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	-1.717699	9.438566	-1.717699	-1.717699	-1.717699	-1.717699	7.492741	-1.717699	7.492741	-1.717699	-1.717699	-1.717699	10.488379	13.836522
SRR5930497	-1.446768	12.534257	-1.446768	-1.446768	-1.446768	-1.446768	15.820316	15.379856	-1.446768	-1.446768	-1.446768	-1.446768	7.763672	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	10.161476	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	9.843026	-1.446768	-1.446768	7.763672	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	-1.446768	8.456769	7.763672
SRR5930498	-1.867570	12.024903	-1.867570	-1.867570	-1.867570	-1.867570	15.061900	14.604698	-1.867570	-1.867570	-1.867570	-1.867570	7.342870	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	7.342870	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	11.686577	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	-1.867570	11.385823	-1.867570	-1.867570	-1.867570	-1.867570	8.441416	-1.867570	10.898121	-1.867570	-1.867570	-1.867570	12.006210	8.729090
SRR5930499	-1.911896	11.692895	-1.911896	-1.911896	-1.911896	-1.911896	14.911276	15.219254	-1.911896	-1.911896	-1.911896	-1.911896	7.991642	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	10.853796	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	11.036117	-1.911896	8.684764	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	11.798255	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	-1.911896	8.684764	-1.911896	-1.911896	-1.911896	7.991642	13.496924
SRR5930501	-2.027381	10.920632	-2.027381	-2.027381	-2.027381	-2.027381	14.706981	14.491502	-2.027381	-2.027381	-2.027381	-2.027381	7.183060	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	7.183060	8.569279	-2.027381	-2.027381	-2.027381	10.127404	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	10.441060	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	11.417068	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	-2.027381	10.738311	-2.027381	-2.027381	-2.027381	9.128884	12.817750
SRR5930502	-1.131680	11.742224	-1.131680	-1.131680	-1.131680	-1.131680	15.989984	16.362154	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	9.870436	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	12.906975	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	-1.131680	11.214159	-1.131680
SRR5930503	-1.779095	11.068834	-1.779095	-1.779095	-1.779095	-1.779095	15.097468	14.930669	-1.779095	-1.779095	-1.779095	-1.779095	7.431346	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	7.431346	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	10.865236	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	-1.779095	11.259889	-1.779095	-1.779095	7.431346	-1.779095	-1.779095	-1.779095	7.431346	-1.779095	-1.779095	-1.779095	10.650125	10.264465
SRR5930504	-1.422313	12.693303	-1.422313	-1.422313	-1.422313	-1.422313	15.643572	15.629127	-1.422313	-1.422313	-1.422313	-1.422313	8.481225	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	7.788128	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	-1.422313	9.579804	-1.422313	-1.422313	7.788128	-1.422313	-1.422313	-1.422313	7.788128	-1.422313	-1.422313	-1.422313	-1.422313	8.481225
