run_accession	Acidobacteriota	Actinomycetota	Aquificota	Armatimonadota	Artverviricota	Atribacterota	Bacillota	Bacteroidota	Balneolota	Bdellovibrionota	Caldisericota	Calditrichota	Campylobacterota	Candidatus_Absconditabacteria	Candidatus_Bipolaricaulota	Candidatus_Cloacimonadota	Candidatus_Korarchaeota	Candidatus_Lokiarchaeota	Candidatus_Micrarchaeota	Candidatus_Nanohaloarchaeota	Candidatus_Omnitrophota	Candidatus_Saccharibacteria	Candidatus_Thermoplasmatota	Chlamydiota	Chlorobiota	Chloroflexota	Chordata	Chrysiogenota	Coprothermobacterota	Cossaviricota	Cressdnaviricota	Cyanobacteriota	Deferribacterota	Deinococcota	Dictyoglomota	Dividoviricota	Duplornaviricota	Elusimicrobiota	Euryarchaeota	Fibrobacterota	Fusobacteriota	Gemmatimonadota	Heterolobosea	Hofneiviricota	Ignavibacteriota	Kiritimatiellota	Kitrinoviricota	Lenarviricota	Lentisphaerota	Mycoplasmatota	Myxococcota	Nanoarchaeota	Negarnaviricota	Nitrososphaerota	Nitrospinota	Nitrospirota	Nucleocytoviricota	Peploviricota	Phixviricota	Pisuviricota	Planctomycetota	Preplasmiviricota	Pseudomonadota	Rhodothermota	Saleviricota	Spirochaetota	Streptophyta	Synergistota	Taleaviricota	Thermodesulfobacteriota	Thermomicrobiota	Thermoproteota	Thermotogota	Uroviricota	Verrucomicrobiota
SRR5930493	0.0	1.22	0.0	0.0	0.0	0.0	16.5	7.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.65	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	6.12	0.0
SRR5930494	0.0	1.34	0.0	0.0	0.0	0.0	15.28	14.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	1.91	0.43
SRR5930495	0.0	2.89	0.0	0.0	0.0	0.0	19.84	23.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.2	5.69
SRR5930497	0.0	1.18	0.0	0.0	0.0	0.0	31.55	20.31	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.01
SRR5930498	0.0	1.08	0.0	0.0	0.0	0.0	22.51	14.25	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.03	0.0	0.35	0.0	0.0	0.0	1.06	0.04
SRR5930499	0.0	0.81	0.0	0.0	0.0	0.0	20.24	27.54	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.02	4.92
SRR5930501	0.0	0.42	0.0	0.0	0.0	0.0	18.52	14.93	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.04	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.07	2.8
SRR5930502	0.0	0.39	0.0	0.0	0.0	0.0	27.28	39.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0
SRR5930503	0.0	0.38	0.0	0.0	0.0	0.0	21.35	18.07	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.25	0.17
SRR5930504	0.0	1.35	0.0	0.0	0.0	0.0	25.8	25.43	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.02
